days_since_infection,median,lower_95,upper_95
36.3,0.141115655,0.091232842,0.205658419
36.4,0.137843409,0.088703792,0.2017662
36.5,0.134639779,0.086242597,0.197863467
36.6,0.131470392,0.083845958,0.194017843
36.7,0.128353103,0.081485436,0.19027307
36.8,0.125306911,0.079175688,0.186578471
36.9,0.12232424,0.076914445,0.182949846
37,0.1193898,0.074725434,0.179354768
37.1,0.116487678,0.072619898,0.175778671
37.2,0.113641587,0.070525499,0.172230535
37.3,0.110861052,0.068480072,0.168728836
37.4,0.10812652,0.066501107,0.165315674
37.5,0.105442971,0.064558585,0.161938674
37.6,0.102790994,0.062633085,0.158586436
37.7,0.100220528,0.060771361,0.155302613
37.8,0.097691842,0.058955109,0.152063604
37.9,0.095204092,0.057166983,0.148853038
38,0.092780899,0.055423927,0.14569611
38.1,0.090395287,0.053763056,0.142673187
38.2,0.088070881,0.052127151,0.139610483
38.3,0.085786498,0.050533375,0.136594595
38.4,0.083548288,0.048968003,0.133605326
38.5,0.081355934,0.047462357,0.13064153
38.6,0.079199269,0.04599919,0.127757703
38.7,0.077102587,0.044565902,0.124934823
38.8,0.075041965,0.043174329,0.122158965
38.9,0.073031397,0.041820848,0.11945199
39,0.071065593,0.040502371,0.116740346
39.1,0.069131454,0.039228662,0.114037583
39.2,0.067253078,0.037980499,0.11144666
39.3,0.065416078,0.036769511,0.108905545
39.4,0.063619573,0.035584101,0.106442396
39.5,0.061866145,0.034428455,0.10393199
39.6,0.060154571,0.033307149,0.101533239
39.7,0.05848025,0.032217474,0.099185518
39.8,0.056839496,0.031165027,0.096905025
39.9,0.055246876,0.030146931,0.094613141
40,0.053694825,0.029163686,0.092340147
40.1,0.052164447,0.028218448,0.090164463
40.2,0.050671572,0.027291985,0.087975814
40.3,0.049232192,0.026386775,0.085829328
40.4,0.047817839,0.025504078,0.083735281
40.5,0.046443322,0.024640197,0.081689211
40.6,0.045102321,0.023812709,0.079674201
40.7,0.043787799,0.02301331,0.077732609
40.8,0.042513901,0.022236849,0.075823209
40.9,0.041270331,0.021482461,0.073927909
41,0.040050501,0.020752195,0.07207625
41.1,0.038876979,0.020044638,0.070267156
41.2,0.037724108,0.01936014,0.06853236
41.3,0.036598484,0.018695973,0.066799703
41.4,0.035509125,0.018058842,0.065132886
41.5,0.034445078,0.017435382,0.063507979
41.6,0.03340827,0.016825222,0.061890522
41.7,0.032400177,0.016240455,0.060309483
41.8,0.031422743,0.015674215,0.0587021
41.9,0.030470792,0.015130679,0.057133484
42,0.029539845,0.014608826,0.055642537
42.1,0.028632239,0.014101391,0.054210446
42.2,0.027751171,0.013612668,0.052807019
42.3,0.02689905,0.013128102,0.051427768
42.4,0.026065408,0.012664551,0.050078007
42.5,0.025259058,0.012209947,0.048742402
42.6,0.024475824,0.011768701,0.047461685
42.7,0.023711453,0.011343987,0.046200449
42.8,0.022968896,0.010939735,0.044942979
42.9,0.022245737,0.010542657,0.043748005
43,0.021546278,0.010157551,0.042555315
43.1,0.02086142,0.009788903,0.041389531
43.2,0.020196858,0.0094322,0.040253575
43.3,0.01954848,0.009088169,0.039143604
43.4,0.018920809,0.008752952,0.038063322
43.5,0.018313268,0.008431655,0.037016626
43.6,0.017723911,0.008123889,0.035995299
43.7,0.017154095,0.007825005,0.034993495
43.8,0.016601282,0.007533969,0.034016362
43.9,0.016059859,0.007257688,0.033069211
44,0.015534702,0.006989423,0.032137418
44.1,0.015026631,0.006728327,0.031235042
44.2,0.014533172,0.006478465,0.030355053
44.3,0.014055947,0.00623377,0.02949685
44.4,0.013590706,0.006000037,0.028642741
44.5,0.013140396,0.005774562,0.027825809
44.6,0.012705135,0.005554823,0.027032706
44.7,0.012281242,0.005342935,0.026260073
44.8,0.011871051,0.005136697,0.025506957
44.9,0.01147403,0.004941252,0.024780223
45,0.011087141,0.004751646,0.02405723
45.1,0.010712197,0.004568173,0.023359833
45.2,0.010350331,0.004391668,0.022680539
45.3,0.009999405,0.004224283,0.022007699
45.4,0.009660321,0.004062591,0.021363953
45.5,0.0093329,0.00390419,0.020740498
45.6,0.009013883,0.003753309,0.020133423
45.7,0.008705539,0.003608628,0.019542288
45.8,0.008407968,0.003468044,0.018960738
45.9,0.008119848,0.003332125,0.018392965
46,0.007839161,0.003200323,0.017840377
46.1,0.007568654,0.003075128,0.017306883
46.2,0.007306278,0.002953058,0.016785544
46.3,0.007051122,0.002835724,0.016273116
46.4,0.006805155,0.002724933,0.015782481
46.5,0.006568855,0.002616788,0.015304975
46.6,0.00633888,0.002512984,0.014843141
46.7,0.006115523,0.002412209,0.014392484
46.8,0.005901092,0.002316921,0.013961757
46.9,0.005692497,0.002224776,0.013530903
