"variable","mean","median","sd","lower","upper","rhat","ess_bulk"
"Y_hat[39]",-4.47110267777778,-4.47112,0.0786008100084113,-4.622463,-4.30857075,0.997897954188761,914.459828279365
"Y_hat[40]",-4.4718077,-4.47383,0.0944414646645505,-4.64932225,-4.27309625,0.999359786252242,851.771599389261
"Y_hat[41]",-4.46884304444444,-4.47246,0.111638833213475,-4.672827,-4.230539,1.00211317969138,773.623568524701
"Y_hat[42]",-4.45585135555556,-4.461045,0.144013046166783,-4.70525425,-4.14902575,1.00823578176811,668.136505928828
"Y_hat[43]",-4.39476996666667,-4.39498,0.0827989654133735,-4.55825475,-4.227475,1.0078839973878,805.374179161829
"Y_hat[44]",-4.40760146666667,-4.405885,0.0691197422081333,-4.54264925,-4.27004,1.0052871948451,884.318970451469
"Y_hat[45]",-4.42175743333333,-4.421795,0.0580503721538286,-4.5384485,-4.303026,1.00217178630658,873.026411180516
"Y_hat[46]",-4.4359467,-4.43759,0.0505414874187478,-4.53491075,-4.333717,0.999634860031631,819.156510901869
"Y_hat[47]",-4.44887661111111,-4.450315,0.0460453330130714,-4.53317625,-4.35872075,0.99999761766957,706.487645760119
"Y_hat[48]",-4.45933125555556,-4.460375,0.0427719010800735,-4.540394,-4.3764745,0.998134289939493,695.392883188472
"Y_hat[49]",-4.46668474444444,-4.466095,0.0405235301925586,-4.545281,-4.3838275,0.998834165357385,762.959935471463
"Y_hat[50]",-4.47059226666667,-4.46953,0.0403762781870775,-4.54837725,-4.39078425,1.00101701612749,813.287439176026
"Y_hat[51]",-4.4707099,-4.46966,0.0423203952321337,-4.5505645,-4.3909595,1.00112321075417,759.258552628053
"Y_hat[52]",-4.46669433333333,-4.465115,0.0447489891671245,-4.5509255,-4.38232325,0.998755153449252,690.108144679628
"Y_hat[53]",-4.45819667777778,-4.456685,0.0460051383086396,-4.55013175,-4.37377825,0.998063144688419,668.286236620102
"Y_hat[54]",-4.44483486666667,-4.444445,0.0466298879348239,-4.53856125,-4.3580885,0.998583002743317,678.248839007423
"Y_hat[55]",-4.42621147777778,-4.426535,0.0478490999857771,-4.516839,-4.33828975,0.999056076955415,705.818976463262
"Y_hat[56]",-4.40193093333333,-4.401705,0.0498839766384766,-4.501634,-4.30910425,1.00095951147323,710.072107576422
"Y_hat[57]",-4.37159575555556,-4.37195,0.0518832881912188,-4.47392775,-4.273137,1.00271992914923,715.888891081218
"Y_hat[58]",-4.33485401111111,-4.33575,0.0530991987376925,-4.44588325,-4.23675575,1.00441889788369,746.62218346761
"Y_hat[59]",-4.29161302222222,-4.291305,0.0545097809530966,-4.40746275,-4.1905545,1.00530142957562,785.810006025484
"Y_hat[60]",-4.24187138888889,-4.24272,0.0573493538678408,-4.36329275,-4.136525,1.00516957849048,812.771187824319
"Y_hat[61]",-4.18562858888889,-4.185825,0.0618750241636149,-4.31215575,-4.0703945,1.00360452455101,826.752274651522
"Y_hat[62]",-4.1228843,-4.12247,0.0676433858465588,-4.2568525,-3.9893275,1.00198061587472,833.120435269364
"Y_hat[63]",-4.05379351111111,-4.051635,0.0747231407193236,-4.20051175,-3.90875225,1.00028190888468,875.85030143509
"Y_hat[64]",-3.97928613333333,-3.98011,0.0842883292368756,-4.14811825,-3.81594525,0.999295499600097,945.271638552587
"Y_hat[65]",-3.90053352222222,-3.900945,0.096704137641983,-4.0895815,-3.7144515,0.999005414879828,970.468349292669
"Y_hat[66]",-3.81870743333333,-3.820135,0.111079846687522,-4.0277005,-3.60706125,0.999147850746947,936.710021751469
"Y_hat[67]",-3.73497913333333,-3.73689,0.126026494904585,-3.97366075,-3.49588,0.999291588444596,863.242838434191
"Y_hat[68]",-2.97531152222222,-2.977255,0.0465459826302451,-3.065752,-2.87725,1.01404489586486,462.495123776269
"Y_hat[69]",-3.01598407777778,-3.01709,0.0352031663072863,-3.09030025,-2.94610325,1.01175540129203,497.381149373551
"Y_hat[70]",-3.06054392222222,-3.061595,0.0276550495011,-3.11606725,-3.00555575,1.00828299139475,581.750877700578
"Y_hat[71]",-3.10583145555556,-3.10578,0.0235145819193127,-3.15184825,-3.05967,1.00423034271436,653.217130431336
"Y_hat[72]",-3.14851111111111,-3.14821,0.0226728365378672,-3.1942915,-3.10533175,1.0039758195082,694.632101662429
"Y_hat[73]",-3.18524836666667,-3.18406,0.0236177414248275,-3.23364775,-3.1392045,1.00450767869567,608.556002161098
"Y_hat[74]",-3.21271866666667,-3.21205,0.0240602284091657,-3.260861,-3.165314,1.00334045021762,653.524038957818
"Y_hat[75]",-3.22949268888889,-3.229295,0.0234511451296041,-3.27765,-3.18402275,1.00082130257669,842.838037613207
"Y_hat[76]",-3.2381433,-3.23764,0.0237844676300275,-3.2852835,-3.19204375,1.00051440981012,851.873314845074
"Y_hat[77]",-3.24175131111111,-3.241715,0.026043776436009,-3.291402,-3.1915685,1.0038454873998,616.656508671195
"Y_hat[78]",-3.24339824444444,-3.24397,0.0288439322688104,-3.29953475,-3.186453,1.00740954432355,486.36342323314
"Y_hat[79]",-3.2461502,-3.245935,0.0302644767621434,-3.306441,-3.1890185,1.00761881184777,484.934844050931
"Y_hat[80]",-3.25156911111111,-3.250955,0.0308531340740303,-3.311779,-3.19003775,1.00422767033098,776.978205233028
"Y_hat[81]",-3.25843566666667,-3.25809,0.0339162855593026,-3.325723,-3.191271,1.00083263000199,1015.47516403454
"Y_hat[82]",-3.26523052222222,-3.263975,0.0409068941166105,-3.34777975,-3.1851075,0.997750377006549,1152.82636891028
"Y_hat[83]",-3.27043462222222,-3.26867,0.0504794398875304,-3.374503,-3.1738315,0.998263254164686,970.645496826206
"Y_hat[84]",-3.27254047777778,-3.27164,0.0609631186586625,-3.39487125,-3.15873125,0.999419561813444,939.479356447012
"Y_hat[85]",-3.27084111111111,-3.26979,0.0722892622049239,-3.40692,-3.1292235,1.00073398442403,936.238237245718
"Y_hat[86]",-3.2585016,-3.25754,0.0989603749077707,-3.44469175,-3.04853875,1.00177823403434,833.329860185481
"Y_hat[87]",-3.28907383333333,-3.290145,0.0524174547947337,-3.39111675,-3.1894005,1.00256319006568,519.072244148884
"Y_hat[88]",-3.32095211111111,-3.32214,0.0422582729523239,-3.40272125,-3.240656,1.00204467067606,705.906213646933
"Y_hat[89]",-3.35687961111111,-3.357125,0.0353426699501245,-3.426599,-3.287698,1.00071924969756,929.334146492865
