"variable","mean","median","sd","lower","upper","rhat","ess_bulk"
"a_raw[39]",-0.152848886722222,-0.140304,0.923923126572796,-1.8466445,1.65286725,1.00810973184648,1545.43471205015
"a_raw[40]",-0.195326531688889,-0.15881,0.984015095045557,-2.14526525,1.728868,0.999160215657084,1091.2641061422
"a_raw[41]",-0.179326856652222,-0.218065,0.93752941943052,-1.91780225,1.60014725,1.00286947349894,2443.64190949452
"a_raw[42]",-0.263769690977778,-0.295301,0.957415898080115,-2.1390265,1.60914175,1.00950550686503,1818.33445578552
"a_raw[43]",-0.266235390411111,-0.296126,0.932064305396267,-2.048549,1.547529,1.00118183788354,1734.86679079663
"a_raw[44]",-0.287619788336667,-0.3176835,1.02220821272135,-2.27057025,1.6890105,1.00428465693847,1359.24655424347
"a_raw[45]",-0.311844787533333,-0.307157,1.03400243271092,-2.378859,1.67321225,0.999928942544495,1714.28866345347
"a_raw[46]",-0.373333573398889,-0.382435,0.963672927853649,-2.1950395,1.44924525,1.00440502541235,1822.11108695472
"a_raw[47]",-0.432245211396667,-0.40807,0.96415960213532,-2.3277835,1.37020225,0.999209334528423,1879.55076152581
"a_raw[48]",-0.517101876233333,-0.5190955,0.956184571727426,-2.5205155,1.37459725,1.00383639899867,1773.38193197817
"a_raw[49]",-0.562053357921111,-0.5853235,1.02629481200544,-2.52310875,1.35067525,1.01232663658197,2034.03798848867
"a_raw[50]",-0.596832500488889,-0.611002,0.974196717195543,-2.5115375,1.36036675,1.01032214018747,1656.03990189041
"a_raw[51]",-0.4249185548,-0.433574,0.929990708264784,-2.23461775,1.39039375,0.999312837857454,2193.23354271047
"a_raw[52]",-0.203094796433333,-0.1717385,1.01017407812414,-2.20446825,1.638909,1.00114306714718,2049.05380111616
"a_raw[53]",-0.0709399231444445,-0.08653895,0.911027221340818,-1.70985825,1.62841,1.00556788988927,1876.98646627765
"a_raw[54]",0.0460928424811111,0.03519425,0.94631645931736,-1.77130125,1.82521275,1.00377850918608,1580.00133118891
"a_raw[55]",0.119295814958889,0.157985,0.977284604296978,-1.74774875,2.021163,1.00381335143766,1893.36247432141
"a_raw[56]",0.151468423427778,0.1658325,0.961558124170608,-1.697768,2.04518225,1.00361215845195,2611.63972952304
"a_raw[57]",0.2320743564,0.2427935,0.91099662514942,-1.6190365,1.99720425,1.0048015554014,1980.44152959868
"a_raw[58]",0.325692603034444,0.31813,0.969007044820978,-1.47920525,2.17177625,0.998327349022746,2002.26116838568
"a_raw[59]",0.314281903195889,0.35384,0.995250748075186,-1.62436275,2.29034375,1.00834915969956,2213.95931539594
"a_raw[60]",0.314797119333333,0.300349,0.925207705072166,-1.44324775,2.159807,1.0049121256517,1670.00572973945
"a_raw[61]",0.219737039588889,0.221034,1.0160364208704,-1.72752675,2.22186875,1.00451408143363,928.080681885679
"a_raw[62]",0.206951436268889,0.185732,0.994394160129175,-1.69387675,2.21536475,1.03862418290001,1600.7862977989
"a_raw[63]",0.227586289744444,0.245344,0.925445562824732,-1.5536105,2.01001975,1.0015678844349,1051.37778197872
"a_raw[64]",0.133857544811111,0.173607,0.927191051324782,-1.7072775,1.9495315,1.00323067430145,2014.74070412392
"a_raw[65]",0.121036279122222,0.138279,0.992317849539394,-1.8220705,2.03781,0.99950349357603,1673.03279288548
"a_raw[66]",0.113785222388889,0.06606605,0.975057406393732,-1.8051745,2.054457,1.00833660437288,1626.32840887141
"a_raw[67]",0.133822342636667,0.1262515,0.896731899605123,-1.6102085,1.79319175,1.00456962990396,1034.41435809267
"a_raw[68]",0.0924569247,0.0736425,1.00509004961404,-1.810396,2.061953,1.00544960448964,1548.05292267258
"a_raw[69]",0.0964559410288889,0.1111645,0.944686568606192,-1.7626355,1.92304525,1.01488355779116,1817.09420664363
"a_raw[70]",0.0936130099133333,0.107648,0.999497175190882,-1.836495,2.06211325,1.01211260392261,1259.60363787908
"a_raw[71]",0.0125709659555556,-0.0237675,1.06571303263607,-2.03598325,2.1260625,1.00485395146116,1161.1948909271
"a_raw[72]",0.0382032525715556,0.04540155,0.935340587157934,-1.80904375,1.9403795,1.01242266057582,2439.67771281041
"a_raw[73]",0.0463641035888889,0.0342522,0.88536500486677,-1.737844,1.697254,1.00466170317761,2431.35372101112
"a_raw[74]",0.02459963258,0.0274889,0.933157480417476,-1.787873,1.785868,1.00225887317427,2442.71986743394
"a_raw[75]",-0.0480674385033333,-0.04169265,1.01895962976103,-1.99140925,1.93646025,1.00338013976657,1462.48156084755
"a_raw[76]",-0.00894741861222221,-0.0006630355,0.996157197741405,-1.94648575,1.881265,1.00898567489771,2259.72324378037
"a_raw[77]",-0.0464174636444444,-0.07055865,0.969507892126695,-1.98921975,1.79234675,1.00614729045865,1941.08927428054
"a_raw[78]",-0.0920849218888889,-0.1032815,0.944443555457627,-1.9712365,1.82193675,1.00461865436111,1792.29324442587
"a_raw[79]",-0.0825228377111111,-0.04194395,0.941067972406803,-1.91855025,1.750265,1.00049463722685,1552.28516552115
"a_raw[80]",-0.0728094961,-0.08630395,0.998579308814718,-1.9062975,1.808424,1.00482078841762,2454.00971542357
"a_raw[81]",-0.118804293922222,-0.113192,0.982434394171342,-2.102844,1.6856475,1.00936439159868,2489.70771588822
"a_raw[82]",-0.0527144289222223,-0.08171345,0.966325669463573,-1.943715,1.843531,1.00281838887088,2004.30530854899
"a_raw[83]",-0.0849778249555556,-0.0831458,0.94989680556482,-1.978974,1.655818,1.00030236853116,1275.06145562051
"a_raw[84]",-0.0312150924614445,-0.0594785,0.918344489652961,-1.6954775,1.77562225,1.00004043858145,1708.75658074378
"a_raw[85]",-0.00502696410177778,-0.0233926,0.969460700193029,-1.895926,1.9305435,1.01619253168629,2024.12654624887
"a_raw[86]",0.117388762988889,0.06400775,1.01229658690383,-1.71757325,2.1266955,1.00532156367879,1410.86302169465
"a_raw[87]",0.195798778685556,0.1947045,0.938336875797218,-1.702282,2.13313925,1.00538432499826,1228.53674436443
"a_raw[88]",0.237974464496667,0.2554805,0.86352183331011,-1.44642575,1.95545075,1.00681531392044,1864.56181701401
"a_raw[89]",0.271287934644444,0.2845315,0.960288968362562,-1.56052175,2.20249575,1.00261275593376,1183.35001138176
"a_raw[90]",0.27234197604,0.305552,0.903494088897852,-1.46389975,2.105783,1.00412215509409,1191.20039633947
"a_raw[91]",0.285694629333333,0.257986,0.965528541221298,-1.51978925,2.23729075,1.00960061777853,1222.79332080953
"a_raw[92]",0.316706110988889,0.288786,0.931210514994526,-1.4863945,2.1506115,1.00600773394464,1730.80114705469
"a_raw[93]",0.296820213166667,0.2853055,0.947956563361055,-1.53158575,2.1679475,0.999399170556277,1871.10234859882
"a_raw[94]",0.330916820155556,0.3342585,0.950290236283446,-1.496633,2.20187975,1.0075822029445,1143.85792869904
"a_raw[95]",0.369975949426667,0.3680095,0.987458760395296,-1.555925,2.34989875,1.00140332240287,518.991866355891
"a_raw[96]",0.413012843233333,0.4105975,0.942862097659474,-1.47925525,2.331109,1.00169275359089,2658.81825849539
"a_raw[97]",0.443758331122222,0.4813645,0.970844502806653,-1.48164525,2.42045975,1.00461303500147,1196.49089906284
"a_raw[98]",0.459981138193333,0.4607155,0.896472762137268,-1.234628,2.19721925,1.01932468349228,1439.55008863999
"a_raw[99]",0.3969058009,0.411832,1.00210179339752,-1.64267825,2.34934725,1.00095816110678,1544.12023621673
"a_raw[100]",0.287230729688889,0.30293,0.933441307678056,-1.602193,2.0891375,1.00670790416474,1498.70679681922
"a_raw[101]",0.193402191070667,0.1880735,0.949430503854735,-1.677236,2.04970625,1.00111332785948,1650.73131315988
"a_raw[102]",0.126880687811111,0.130809,0.952552785748614,-1.88163725,2.01518025,0.999401569450081,1558.77713525543
"a_raw[103]",0.107645077707778,0.135949,0.92792299781261,-1.7904645,1.92869675,0.998340521482797,1147.65935852211
"a_raw[104]",0.0305418,0.04179855,0.938726031117137,-1.741901,1.8921285,1.00978098677118,1537.54716373077
"a_raw[105]",0.0355163022455555,0.02981355,0.964102256171498,-1.79460375,1.818708,1.00014363668068,2292.20950117609
"a_raw[106]",0.0182084761933334,0.0272645,1.00556405563483,-2.05975725,1.85050175,1.00522379615181,1361.86963018913
"a_raw[107]",-0.0512606751666667,-0.05725515,0.97265056244975,-1.94661575,1.852912,1.00426077696983,1893.68414798403
"a_raw[108]",-0.09375256941,-0.07579885,0.949713690441779,-1.9869525,1.68774675,1.0079470526887,2240.75800005641
