"variable","mean","median","sd","lower","upper","rhat","ess_bulk","t"
"a",-4.50724986666667,-4.5008,0.168335727420963,-4.87023475,-4.20800375,1.00105338853916,1894.85454605357,28
"a",-4.47043138888889,-4.461255,0.177815031755167,-4.83783825,-4.149914,0.998970754422951,1958.80465664414,29
"a",-4.43379802222222,-4.42235,0.185282361552374,-4.80880925,-4.10138975,0.998465379158324,1995.40555071431,30
"a",-4.39742075555556,-4.38881,0.189938761995646,-4.7934765,-4.043714,0.999243509429821,2011.51020826941,31
"a",-4.36195358888889,-4.353485,0.191981390600017,-4.75304125,-3.987857,0.998850003444577,2006.59336414064,32
"a",-4.32707845555556,-4.32582,0.19276550307023,-4.70034725,-3.9512395,0.998620856438612,1933.83695992464,33
"a",-4.29295487777778,-4.289175,0.191905506581126,-4.66234475,-3.91567225,0.998524245009852,1871.36265800964,34
"a",-4.26109458888889,-4.26031,0.188586499691237,-4.629967,-3.88303875,0.998863892171108,1824.75037582232,35
"a",-4.23050273333333,-4.228345,0.182416730495011,-4.5738945,-3.86215775,0.997959390448706,1707.67194854052,36
"a",-4.20159497777778,-4.204465,0.174789389618932,-4.52974875,-3.85563825,0.997917401408591,1572.27492506969,37
"a",-4.17448064444444,-4.17937,0.164907736566055,-4.502729,-3.84159425,0.997920676754464,1490.48853304175,38
"a",-4.14962575555556,-4.150775,0.153463454199512,-4.4506225,-3.8427445,0.997763942689154,1419.62701654328,39
"a",-4.1281228,-4.12747,0.141700785577597,-4.406134,-3.84685925,0.997645151104314,1421.76854340157,40
"a",-4.10938452222222,-4.106515,0.129774944420005,-4.36768875,-3.86144475,0.998084618539145,1402.30295905499,41
"a",-4.0941983,-4.096005,0.116732097428585,-4.32315175,-3.87615475,0.998151138003206,1310.5925788669,42
"a",-4.08328607777778,-4.08536,0.103135092452945,-4.282695,-3.886699,0.99838787963569,1212.93614490273,43
"a",-4.07635197777778,-4.075405,0.0904167465851727,-4.2523845,-3.90350275,1.00027709745325,1081.72802589616,44
"a",-4.07381602222222,-4.072085,0.0793837984254835,-4.22607825,-3.9277935,1.00248531388837,936.966839192885,45
"a",-4.07670571111111,-4.078315,0.0709619895343318,-4.21467125,-3.93704,1.00309304506303,811.287376300068,46
"a",-4.08662483333333,-4.087735,0.0646087218296196,-4.21251975,-3.95598375,1.00058329634218,752.055118987298,47
"a",-4.1044955,-4.10697,0.0593771864078444,-4.22046225,-3.97939575,1.0010322109518,763.378316025919,48
"a",-4.1310257,-4.132395,0.0549284545140748,-4.23478525,-4.01996525,1.00490792908997,855.136292907039,49
"a",-4.16339826666667,-4.164755,0.0523716390772678,-4.26586375,-4.06398975,1.00822953976249,971.849772291773,50
"a",-4.19916132222222,-4.20078,0.0514934891542593,-4.3016225,-4.10395225,1.00195936749313,1073.110900615,51
