"t","mean","lower","upper","variable","model","params","iter","confignum"
44,0.00664014490115059,0.00163956000441326,0.011884154159807,"Obs positivity","weighted","estimated",2,22
45,0.00601076602561129,0.00127605431977634,0.0109699261498236,"Obs positivity","weighted","estimated",2,22
46,0.00534337051205971,0.000896768389544771,0.0100032337840538,"Obs positivity","weighted","estimated",2,22
47,0.00469302363269608,0.00054145648920011,0.00904609692154282,"Obs positivity","weighted","estimated",2,22
48,0.00408188259681282,0.000213144325987989,0.00814291883238263,"Obs positivity","weighted","estimated",2,22
49,0.00353335621496936,-5.29693784711846e-05,0.00733703177924795,"Obs positivity","weighted","estimated",2,22
50,0.00305813152019405,-0.000265511786697696,0.00659887595239855,"Obs positivity","weighted","estimated",2,22
51,0.00264208272889202,-0.000444202700935473,0.00596385712687016,"Obs positivity","weighted","estimated",2,22
52,0.00228937420111163,-0.000577027345958868,0.00541406252174729,"Obs positivity","weighted","estimated",2,22
53,0.00198274524307184,-0.00067697255888773,0.00492631286384695,"Obs positivity","weighted","estimated",2,22
54,0.00172388694122292,-0.00075036072733337,0.00448841664546918,"Obs positivity","weighted","estimated",2,22
55,0.00151212972261762,-0.000798116389862611,0.0041129304537504,"Obs positivity","weighted","estimated",2,22
56,0.00135701640627043,-0.000831931617441758,0.00379672992407374,"Obs positivity","weighted","estimated",2,22
57,0.00125442537387022,-0.000844486834302862,0.00355335406071504,"Obs positivity","weighted","estimated",2,22
58,0.00119135585907059,-0.000853517632753999,0.00336923765310649,"Obs positivity","weighted","estimated",2,22
59,0.0011492278698973,-0.000862218995844857,0.00324985849800547,"Obs positivity","weighted","estimated",2,22
60,0.00112056089059962,-0.000868914784102595,0.00316778517945701,"Obs positivity","weighted","estimated",2,22
61,0.00110187378142471,-0.000871494603073985,0.00311507889384759,"Obs positivity","weighted","estimated",2,22
62,0.00109461593438202,-0.000868276083401773,0.00308968678475167,"Obs positivity","weighted","estimated",2,22
63,0.00108775575247728,-0.000880253415254756,0.00308009509253305,"Obs positivity","weighted","estimated",2,22
64,0.001090479834023,-0.000867424290913533,0.00307989589135764,"Obs positivity","weighted","estimated",2,22
65,0.00109372920888854,-0.000871159567627773,0.00308186553833709,"Obs positivity","weighted","estimated",2,22
66,0.0010976108410146,-0.00087254911919659,0.00309263559909751,"Obs positivity","weighted","estimated",2,22
67,0.00110249649928955,-0.000872011285992793,0.00310897260144469,"Obs positivity","weighted","estimated",2,22
68,0.001106252450776,-0.000875804991005195,0.00311457095160792,"Obs positivity","weighted","estimated",2,22
69,0.00111347267142473,-0.000873170907679341,0.0031261355912723,"Obs positivity","weighted","estimated",2,22
70,0.00112445053648017,-0.000867372752997056,0.00315419266354378,"Obs positivity","weighted","estimated",2,22
71,0.00113691996320759,-0.000866886932410988,0.00318138750329158,"Obs positivity","weighted","estimated",2,22
72,0.0011554323027936,-0.000857701277350464,0.00322071082238812,"Obs positivity","weighted","estimated",2,22
73,0.00116985215319391,-0.000862391840250413,0.00325523168069204,"Obs positivity","weighted","estimated",2,22
74,0.00118886301608279,-0.000861104620684211,0.00329364357776121,"Obs positivity","weighted","estimated",2,22
75,0.00120235865641376,-0.000858677011791434,0.00333164424162849,"Obs positivity","weighted","estimated",2,22
76,0.00121117143627462,-0.000859896277362543,0.0033506113241852,"Obs positivity","weighted","estimated",2,22
77,0.00122245812550101,-0.000860220373352139,0.00337991444367998,"Obs positivity","weighted","estimated",2,22
78,0.0012376780697966,-0.000845693008336833,0.00341691911914362,"Obs positivity","weighted","estimated",2,22
79,0.00125479114915808,-0.000850501094235497,0.00345595361504426,"Obs positivity","weighted","estimated",2,22
80,0.001280499241737,-0.000845937070077384,0.00351275375752333,"Obs positivity","weighted","estimated",2,22
81,0.00130815012642066,-0.000841868023529593,0.0035730876027857,"Obs positivity","weighted","estimated",2,22
82,0.00134144270440129,-0.000838301335995093,0.00364859732956132,"Obs positivity","weighted","estimated",2,22
83,0.00138430760677496,-0.000829278639605127,0.00373806145004891,"Obs positivity","weighted","estimated",2,22
84,0.00143989995032583,-0.000815919083069524,0.00384143766249524,"Obs positivity","weighted","estimated",2,22
85,0.00150547096436286,-0.000800879401291304,0.0039602000384933,"Obs positivity","weighted","estimated",2,22
86,0.0015805996021493,-0.000792677047848076,0.00410201317101954,"Obs positivity","weighted","estimated",2,22
87,0.00167244738338547,-0.000769894540220866,0.00426725850118372,"Obs positivity","weighted","estimated",2,22
88,0.00178007800267452,-0.000740226323975585,0.00444693446431526,"Obs positivity","weighted","estimated",2,22
89,0.00188763669316715,-0.000706239271608713,0.00462451706190711,"Obs positivity","weighted","estimated",2,22
90,0.00200218328956854,-0.000670539966961922,0.00481739107415025,"Obs positivity","weighted","estimated",2,22
91,0.00211132810956761,-0.00063703376481152,0.0050032641724035,"Obs positivity","weighted","estimated",2,22
92,0.00220868717099918,-0.000607238613639,0.00516796885956578,"Obs positivity","weighted","estimated",2,22
