obsmethod,t,rt,Pt,nSamples,nPos,phat,ssw,iter,confignum
betabinom,31,0.005655252745421133,0.007814769305962725,100000,1023,0.01023,1.0e-5,4,30
betabinom,32,-0.0033582408085260423,0.007788569446112507,100000,854,0.00854,1.0e-5,4,30
betabinom,33,-0.00623898627377498,0.007740127938328775,100000,903,0.00903,1.0e-5,4,30
betabinom,34,-0.003327517888109155,0.007714415327468994,100000,601,0.00601,1.0e-5,4,30
betabinom,35,0.0016248103888137685,0.007726959978216286,100000,506,0.00506,1.0e-5,4,30
betabinom,36,-0.012535754709895973,0.007630701301402156,100000,737,0.00737,1.0e-5,4,30
betabinom,37,-0.030881978984955448,0.007398651662002209,100000,716,0.00716,1.0e-5,4,30
betabinom,38,-0.01904887436457755,0.007259049529076834,100000,896,0.00896,1.0e-5,4,30
betabinom,39,0.005743373112920835,0.007300860913223626,100000,1003,0.01003,1.0e-5,4,30
betabinom,40,0.03439269618255301,0.0075563250741396085,100000,881,0.00881,1.0e-5,4,30
betabinom,41,0.03136314867668239,0.007797070758492434,100000,902,0.00902,1.0e-5,4,30
betabinom,42,0.013891980419990946,0.007906143376007582,100000,801,0.00801,1.0e-5,4,30
betabinom,43,0.010343004576049121,0.007988341005578822,100000,867,0.00867,1.0e-5,4,30
betabinom,44,0.01735440985121405,0.008128183884989303,100000,767,0.00767,1.0e-5,4,30
betabinom,45,0.029662820919503504,0.008372900294262934,100000,1172,0.01172,1.0e-5,4,30
betabinom,46,0.03765011486456236,0.008694150559153247,100000,758,0.00758,1.0e-5,4,30
betabinom,47,0.04050548844225097,0.009053540878213842,100000,967,0.00967,1.0e-5,4,30
betabinom,48,0.06027755912035454,0.009616049231924474,100000,882,0.00882,1.0e-5,4,30
betabinom,49,0.04729038230633948,0.010081719968456198,100000,907,0.00907,1.0e-5,4,30
betabinom,50,0.030210858640999625,0.010390944841071718,100000,883,0.00883,1.0e-5,4,30
betabinom,51,0.013936541059353325,0.01053677247661007,100000,1392,0.01392,1.0e-5,4,30
betabinom,52,0.04768365097811085,0.011051375839301589,100000,903,0.00903,1.0e-5,4,30
betabinom,53,0.04554023495188062,0.011566293846901835,100000,948,0.00948,1.0e-5,4,30
betabinom,54,0.022104114605850867,0.011824803064977121,100000,1051,0.01051,1.0e-5,4,30
betabinom,55,0.02115328918973968,0.012077600869987113,100000,1421,0.01421,1.0e-5,4,30
betabinom,56,0.005163355192834708,0.012140123086456988,100000,924,0.00924,1.0e-5,4,30
betabinom,57,0.02481357819097152,0.012445131505376388,100000,1349,0.01349,1.0e-5,4,30
betabinom,58,-0.007969744421871289,0.012346341177716812,100000,1266,0.01266,1.0e-5,4,30
betabinom,59,-0.016629162974621296,0.012142729496075035,100000,1347,0.01347,1.0e-5,4,30
betabinom,60,-0.03063096176450747,0.011776424786125578,100000,999,0.00999,1.0e-5,4,30
betabinom,61,-0.013823084848023803,0.011614758206753775,100000,1063,0.01063,1.0e-5,4,30
betabinom,62,-0.03557228962185567,0.011208856884608648,100000,1012,0.01012,1.0e-5,4,30
betabinom,63,-0.052132877671003955,0.010639477561938523,100000,1152,0.01152,1.0e-5,4,30
betabinom,64,-0.05971544002045711,0.010022734287008919,100000,1013,0.01013,1.0e-5,4,30
betabinom,65,-0.04479555837393795,0.009583667839831955,100000,1112,0.01112,1.0e-5,4,30
betabinom,66,-0.04624359875552701,0.00915057559838779,100000,832,0.00832,1.0e-5,4,30
betabinom,67,-0.02367016079575251,0.00893652332244067,100000,762,0.00762,1.0e-5,4,30
betabinom,68,-0.012054166172710531,0.008829447635896038,100000,928,0.00928,1.0e-5,4,30
betabinom,69,0.01708560636866447,0.00898160021083649,100000,883,0.00883,1.0e-5,4,30
betabinom,70,0.014172184495415354,0.009109795363095273,100000,1072,0.01072,1.0e-5,4,30
betabinom,71,0.04268898401766296,0.009507103272942739,100000,966,0.00966,1.0e-5,4,30
betabinom,72,0.031190169778755376,0.00980830427570144,100000,1121,0.01121,1.0e-5,4,30
betabinom,73,0.05322877423220014,0.01034453308858171,100000,1269,0.01269,1.0e-5,4,30
betabinom,74,0.08005832890774378,0.01120675257456951,100000,1136,0.01136,1.0e-5,4,30
betabinom,75,0.06815561914146993,0.011997186023051061,100000,1104,0.01104,1.0e-5,4,30
betabinom,76,0.07429338415301437,0.01292244224010655,100000,1457,0.01457,1.0e-5,4,30
betabinom,77,0.04533884675485296,0.01352181564838452,100000,1111,0.01111,1.0e-5,4,30
betabinom,78,0.04604326508940265,0.014158959730507443,100000,1649,0.01649,1.0e-5,4,30
betabinom,79,0.043430687017670194,0.014787442002361402,100000,1742,0.01742,1.0e-5,4,30
betabinom,80,0.05186285549828977,0.015574596582348148,100000,1374,0.01374,1.0e-5,4,30
betabinom,81,0.04584380600907577,0.016305214566912078,100000,1451,0.01451,1.0e-5,4,30
betabinom,82,0.054983559028177975,0.017226838192651535,100000,1773,0.01773,1.0e-5,4,30
betabinom,83,0.08341965247005309,0.018725536494424818,100000,1890,0.0189,1.0e-5,4,30
betabinom,84,0.08549531886471684,0.020396911637996243,100000,1936,0.01936,1.0e-5,4,30
betabinom,85,0.06793137666889915,0.02183064847419656,100000,2419,0.02419,1.0e-5,4,30
betabinom,86,0.08019603589191604,0.02365349565069896,100000,2227,0.02227,1.0e-5,4,30
betabinom,87,0.05602181202307284,0.02501642786540411,100000,2730,0.0273,1.0e-5,4,30
betabinom,88,0.07071825561067738,0.026849601504249067,100000,2896,0.02896,1.0e-5,4,30
betabinom,89,0.10941185034738196,0.029953998743937307,100000,3045,0.03045,1.0e-5,4,30
betabinom,90,0.10240649511559395,0.03318404953398048,100000,3840,0.0384,1.0e-5,4,30
betabinom,91,0.08261052616660096,0.036041817116986105,100000,3258,0.03258,1.0e-5,4,30
betabinom,92,0.07055028000932155,0.038676420731704055,100000,3511,0.03511,1.0e-5,4,30
betabinom,93,0.06446827100627661,0.04125195072373659,100000,4792,0.04792,1.0e-5,4,30
betabinom,94,0.06672107768755085,0.04409822268099919,100000,4494,0.04494,1.0e-5,4,30
betabinom,95,0.04573745406304149,0.04616199930147553,100000,4721,0.04721,1.0e-5,4,30
