obsmethod,t,rt,Pt,nSamples,nPos,phat,ssw,theoreticalvar,iter,confignum
weighted,80,0.04654859258060731,0.008003488623449928,10,0,0.0,0.119246964064187,0.001096825579699228,7,17
weighted,81,0.028389462669409858,0.00823395935607527,10,0,0.0,0.12573321693543343,0.0012282753321648592,7,17
weighted,82,0.050401915999315774,0.008659603213528938,10,0,0.0,0.13774214485885908,0.0015033619301629219,7,17
weighted,83,0.03836283012030691,0.008998264571424743,10,0,0.0,0.11059264700042648,0.0010970947766844802,7,17
weighted,84,0.04739017611409692,0.009434959718668206,10,0,0.0,0.1354413675940849,0.0015853447219847912,7,17
weighted,85,0.04269027225290115,0.00984646179193851,10,1,0.045912861380589864,0.12674047518075895,0.0014391557990572038,7,17
weighted,86,0.012741521452693968,0.009972723370226722,10,0,0.0,0.11868744477466123,0.001336647712883038,7,17
weighted,87,0.01734847166278556,0.010147244337945793,10,0,0.0,0.1304863609959319,0.0015744558975556119,7,17
weighted,88,0.015850838551384888,0.010309368174627086,10,0,0.0,0.12033243864138846,0.0014031890939443673,7,17
weighted,89,0.011976398101440813,0.010433579590064804,10,0,0.0,0.11640428313811385,0.0013815438331928867,7,17
weighted,90,-0.007560459006368772,0.010354994383730647,10,0,0.0,0.14414869653651174,0.0018786911653195931,7,17
weighted,91,-0.00473108788631108,0.010306119701611473,10,0,0.0,0.12811498943428293,0.0014876466546536484,7,17
weighted,92,-0.004546279715860075,0.010259371544280974,10,0,0.0,0.11853283814866283,0.001355039387973355,7,17
weighted,93,-0.009848611914617854,0.010158826900734642,10,0,0.0,0.11307498152412314,0.001270195328598195,7,17
weighted,94,-0.02586606477284224,0.009899427311905622,10,0,0.0,0.13190550634967022,0.0015435376588107815,7,17
weighted,95,-0.02848326131262989,0.009621437164054858,10,0,0.0,0.13202293914674876,0.0014911034004762905,7,17
weighted,96,-0.028911505370079298,0.009347249617789995,10,1,0.0436271744970881,0.11975770028466587,0.0012728325810134479,7,17
weighted,97,-0.0264633696191768,0.009103134200692546,10,0,0.0,0.12904388446395984,0.0014308502110939928,7,17
weighted,98,-0.040569634441840155,0.008741214487917086,10,0,0.0,0.12603879734547083,0.0012733536819057286,7,17
weighted,99,-0.058922314332717676,0.008241042254413224,10,0,0.0,0.1251238586426612,0.0012459979692720053,7,17
weighted,100,-0.05578208769457582,0.007793926179459331,10,0,0.0,0.13292643924623446,0.0012160081022980942,7,17
weighted,1,-0.00010772572972974179,0.009998922800724784,10,0,0.0,0.12220964048691668,0.0014340704977548553,8,17
weighted,2,-0.009802023983889829,0.009901391900623505,10,0,0.0,0.12475500727590337,0.0014830660963314338,8,17
weighted,3,-0.021784451770185127,0.009688027952433875,10,0,0.0,0.14827759950943248,0.0021139037769602968,8,17
