"t","mean","lower","upper","variable","date"
73,0.000359027961481199,0.000146073180481987,0.000692999087107486,"Pt","2020-07-12"
74,0.000346600992482654,0.000136871536623758,0.000679747824633021,"Pt","2020-07-13"
75,0.000334566177034005,0.0001302506231602,0.000662621916868342,"Pt","2020-07-14"
76,0.000322914450989543,0.00012530410382604,0.000639803732015873,"Pt","2020-07-15"
77,0.000311936740151815,0.000122245897145967,0.000613777133460494,"Pt","2020-07-16"
78,0.000301893832121956,0.000120258788721816,0.00058396370073321,"Pt","2020-07-17"
79,0.000292963357437867,0.000119748753166511,0.000554565860404444,"Pt","2020-07-18"
80,0.000285262233469428,0.000120727276472562,0.000525552088498402,"Pt","2020-07-19"
81,0.00027894118290035,0.000123319525571503,0.000498635052515402,"Pt","2020-07-20"
82,0.000274189783197029,0.000127516804319584,0.000474346204097346,"Pt","2020-07-21"
83,0.000271155472777973,0.000132951567291906,0.000453312785896743,"Pt","2020-07-22"
84,0.000269941078544859,0.000139675433193426,0.000436615598034658,"Pt","2020-07-23"
85,0.000270631217643764,0.000148350937272567,0.00042260050899859,"Pt","2020-07-24"
86,0.000273212205759126,0.000159032614151682,0.000412122665610122,"Pt","2020-07-25"
87,0.00027759493746514,0.000171304555526019,0.000404413508205112,"Pt","2020-07-26"
88,0.000283675851141024,0.000184159948376337,0.00040009619912802,"Pt","2020-07-27"
89,0.000291302477052977,0.000197271965783837,0.000400131934518386,"Pt","2020-07-28"
90,0.000300263897003669,0.000210458417989307,0.000404469225821549,"Pt","2020-07-29"
91,0.000310290190920851,0.000222759715090299,0.000412882642339851,"Pt","2020-07-30"
92,0.000321057814925782,0.000233776095058886,0.000425125410026796,"Pt","2020-07-31"
93,0.000332164784310531,0.000242635026953435,0.000440925585934467,"Pt","2020-08-01"
94,0.00034311361008053,0.000249173957464252,0.000458424978137338,"Pt","2020-08-02"
95,0.000353369288221167,0.000254055015765478,0.000476546224358308,"Pt","2020-08-03"
96,0.000362650533622825,0.000256977008137862,0.000495074960259032,"Pt","2020-08-04"
97,0.000370799962020893,0.000257712869552385,0.000515397308772049,"Pt","2020-08-05"
98,0.000377601903501341,0.000256637877719309,0.000537647718099605,"Pt","2020-08-06"
99,0.000382775581776844,0.000254159686699694,0.000558528835067824,"Pt","2020-08-07"
100,0.000386110578928166,0.000250476779743467,0.000576696158159174,"Pt","2020-08-08"
101,0.000387962064847284,0.000245770718739291,0.000591240183196746,"Pt","2020-08-09"
102,0.000388885415337221,0.000239733828975709,0.000603316354488664,"Pt","2020-08-10"
103,0.000389354540726249,0.000232995605695393,0.000612593278093106,"Pt","2020-08-11"
104,0.000389754169161437,0.000227058383250915,0.000617266054237162,"Pt","2020-08-12"
105,0.000390465967129985,0.00022295686531551,0.000617356061874108,"Pt","2020-08-13"
106,0.000392026009590286,0.000220435811293447,0.000615079487066869,"Pt","2020-08-14"
107,0.000395009809236366,0.000220112945445868,0.000612429802251018,"Pt","2020-08-15"
108,0.000399951435882822,0.000222688597976064,0.000611927176637182,"Pt","2020-08-16"
109,0.000407359014549631,0.00022928701722045,0.000614665457058776,"Pt","2020-08-17"
110,0.000417791051232424,0.000241020047641337,0.000618955638594091,"Pt","2020-08-18"
111,0.000431936371989474,0.000257426566427396,0.000625802750721358,"Pt","2020-08-19"
112,0.000450612558342386,0.000279547056045259,0.000637654803451531,"Pt","2020-08-20"
113,0.000474763753270343,0.000306966191597862,0.000655759482817406,"Pt","2020-08-21"
114,0.000505519876231926,0.000342120003699149,0.000680693290023337,"Pt","2020-08-22"
115,0.000543932908567161,0.000386944944655045,0.000713358992364206,"Pt","2020-08-23"
116,0.000590171643012441,0.000439435788635704,0.000754142063219405,"Pt","2020-08-24"
117,0.000644043229187679,0.000496936333376488,0.000805468726910508,"Pt","2020-08-25"
118,0.000704889555403448,0.000556663862128442,0.000869402506402423,"Pt","2020-08-26"
119,0.000771349940652575,0.000617629306633909,0.000944719201387417,"Pt","2020-08-27"
120,0.000841984940995614,0.000679703359860575,0.00102665740211122,"Pt","2020-08-28"
121,0.000916523407928712,0.000742739358201574,0.00111706582724765,"Pt","2020-08-29"
122,0.000994815995561854,0.000805600054948011,0.00121691506386172,"Pt","2020-08-30"
