"round","date","nSamples","nPos","phat","ssw"
4,2020-08-26,12937,9,0.000812678564774757,0.000129095880594557
4,2020-08-27,12545,13,0.00141546545210619,0.000135567348547736
4,2020-08-28,13092,11,0.00121417619519814,0.000129328590858745
4,2020-08-29,9385,15,0.00205981058539059,0.00018812652652474
4,2020-08-30,4894,11,0.00329013417838775,0.000351570626959431
4,2020-08-31,5674,4,0.000990758775660489,0.000291129428121318
4,2020-09-01,10697,14,0.00163426468724722,0.000156029295603052
4,2020-09-02,8137,5,0.000618474309961191,0.000219794549965435
4,2020-09-03,6317,5,0.00288462749934303,0.000271511382688052
4,2020-09-04,5852,7,0.00145955931967476,0.000292992375265827
4,2020-09-05,4885,11,0.002198784360103,0.000357032552398377
4,2020-09-06,3706,3,0.000608383338630141,0.000521251488252648
4,2020-09-07,4101,9,0.00248903565590617,0.000442911714192508
4,2020-09-08,34,0,0,0.0520805815347925
5,2020-09-18,932,5,0.00703263875564624,0.00184062170641548
5,2020-09-19,10929,53,0.00538642789322983,0.000157395604779244
5,2020-09-20,11846,43,0.00474743446260625,0.000143968776106103
5,2020-09-21,14838,59,0.00415636174060219,0.000109417907670656
5,2020-09-22,13289,44,0.00459349912042517,0.000123287713170656
5,2020-09-23,13909,87,0.00988951635996602,0.00012074397753682
5,2020-09-24,14347,62,0.00406813433120979,0.000113557035255045
5,2020-09-25,14288,60,0.00621946492501667,0.000115035905109772
5,2020-09-26,12380,67,0.00771321904498034,0.000133094725544436
5,2020-09-27,11236,29,0.00290836777427964,0.000150459071719359
5,2020-09-28,12548,51,0.00583162059890854,0.000132763250909959
5,2020-09-29,10017,72,0.00728872807134238,0.000168193235455027
5,2020-09-30,8660,32,0.00501038484968754,0.000193738114974896
5,2020-10-01,6692,34,0.00654922541332595,0.000249221463587387
5,2020-10-02,5963,56,0.0118651567190519,0.000299858498502381
5,2020-10-03,5626,33,0.00697473056973081,0.000303597246240953
5,2020-10-04,2924,7,0.00300522159486136,0.000614387235933463
5,2020-10-05,3493,22,0.00582357764342219,0.000458527791325745
6,2020-10-16,869,11,0.0141789568425144,0.00219030858416135
6,2020-10-17,11330,95,0.012443343645784,0.00015631952251807
6,2020-10-18,11828,111,0.0107112530355264,0.000152736323355171
6,2020-10-19,15627,115,0.00848248577698586,0.000109812996619386
6,2020-10-20,13489,138,0.0152180539433896,0.000130046226320325
6,2020-10-21,13340,131,0.0124289740151129,0.000126327376077214
6,2020-10-22,12967,167,0.0148054154564919,0.000129952183977671
6,2020-10-23,12553,176,0.0155357796653247,0.000136786734557659
6,2020-10-24,10012,142,0.018454360661282,0.00017477601285815
6,2020-10-25,7910,100,0.0156210534196092,0.000225425039729898
6,2020-10-26,9550,98,0.0115242487195885,0.000178261336149922
6,2020-10-27,8853,111,0.0135956452230867,0.000198750540047347
6,2020-10-28,7304,97,0.0138905614632241,0.00023835667807378
6,2020-10-29,6205,51,0.00931296739682036,0.000281309134224284
6,2020-10-30,5708,34,0.00741896587075407,0.000295935472301686
6,2020-10-31,4667,46,0.0135189853046673,0.000382322667435098
6,2020-11-01,2708,38,0.0160782501832848,0.000615013928293859
6,2020-11-02,4618,66,0.0127851264109361,0.000376987359023598
7,2020-11-13,186,1,0.00703928667300091,0.00850061120609313
7,2020-11-14,329,3,0.00688485736901536,0.00633902664465532
7,2020-11-15,1050,12,0.0132399647331952,0.00185440452859624
7,2020-11-16,18862,190,0.0122264977179323,9.68548544790195e-05
7,2020-11-17,16250,120,0.00829826808187027,0.000108786698746619
7,2020-11-18,15894,114,0.0104483985201132,0.000107105563598658
7,2020-11-19,15489,106,0.00732515228070225,0.000120143069900242
7,2020-11-20,14722,122,0.0103745048475859,0.000120515880852268
7,2020-11-21,14693,102,0.00775491739871224,0.000119079172884425
7,2020-11-22,9788,70,0.00983845060497233,0.000182425091044434
