"variable","mean","median","sd","lower","upper","rhat","ess_bulk","t","days","t_approximation","date"
"al",284.380776,197.714,264.189044935695,66.420305,1099.43075,1.00350696455848,518.945858951666,98,NA,NA,"2021-12-15"
"al",295.457395444444,204.942,275.25572282353,68.8279675,1195.2875,1.00403384874542,508.89459655087,99,NA,NA,"2021-12-16"
"al",306.156783333333,211.9925,285.934097860656,70.435255,1243.3855,1.00457152032361,500.948597813518,100,NA,NA,"2021-12-17"
"be",16103.6775,11405.85,14606.8385644961,3975.30075,61095.4875,1.00405453116989,535.184005794884,1,NA,NA,"2021-09-09"
"be",16105.7508444444,11405.8,14608.7585253064,3975.382,61097.36,1.00402873565059,535.161727466655,2,NA,NA,"2021-09-10"
"be",16107.5907888889,11405.35,14610.4765840566,3975.49075,61096.82,1.00404285379554,534.886664806687,3,NA,NA,"2021-09-11"
"be",16109.1366333333,11404.5,14611.8983764426,3975.628,61093.8975,1.00405434316014,534.992094453796,4,NA,NA,"2021-09-12"
"be",16110.3302777778,11403.25,14612.9345105532,3975.791,61088.98,1.00400878373142,534.86734598127,5,NA,NA,"2021-09-13"
"be",16111.1194222222,11401.75,14613.5173913112,3975.98275,61083.1075,1.0040073467438,534.669910732057,6,NA,NA,"2021-09-14"
"be",16111.4701777778,11400.15,14613.6000870708,3976.201,61075.8975,1.00401805054408,534.513998999424,7,NA,NA,"2021-09-15"
"be",16111.3632444444,11398.6,14613.1749820691,3976.43775,61067.7425,1.00401934671104,534.60951090295,8,NA,NA,"2021-09-16"
"be",16110.8025888889,11397.3,14612.2677957106,3976.68125,61059.2575,1.0040110500128,534.542679282278,9,NA,NA,"2021-09-17"
"be",16109.8101,11396.45,14610.9406496952,3976.8925,61051.1675,1.00401397998938,534.686615921486,10,NA,NA,"2021-09-18"
"be",16108.4320666667,11395.95,14609.2774662085,3977.042,61044.2025,1.00400788378115,534.662565457738,11,NA,NA,"2021-09-19"
"be",16106.7225666667,11395.9,14607.3751158938,3977.09025,61038.8875,1.00401674865042,534.671313505996,12,NA,NA,"2021-09-20"
"be",16104.7354555556,11396.1,14605.3237687801,3976.9825,61035.4,1.0040098680275,534.791298561344,13,NA,NA,"2021-09-21"
"be",16102.5184444444,11396.55,14603.195820177,3976.66875,61034.0075,1.00398605416743,534.891435298673,14,NA,NA,"2021-09-22"
"be",16100.1067,11397,14601.0408256259,3976.12375,61034.1875,1.00398986411978,534.878068904502,15,NA,NA,"2021-09-23"
"be",16097.5089333333,11397.15,14598.8589540161,3975.3185,61034.96,1.00402492870557,534.774128591744,16,NA,NA,"2021-09-24"
"be",16094.7091222222,11396.85,14596.6054913281,3974.2445,61035.2075,1.0040094982979,534.726444658724,17,NA,NA,"2021-09-25"
"be",16091.6589444444,11395.85,14594.1919800644,3972.93275,61033.57,1.00399912562653,534.815306124539,18,NA,NA,"2021-09-26"
"be",16088.2903444444,11393.9,14591.4953237855,3971.4105,61028.44,1.00400779780257,534.774840543736,19,NA,NA,"2021-09-27"
"be",16084.5293555556,11390.9,14588.3808479684,3969.7435,61016.7125,1.00399195984069,534.546685576065,20,NA,NA,"2021-09-28"
"be",16080.2890666667,11386.75,14584.707372567,3967.9965,60976.64,1.00395928084009,534.529457922259,21,NA,NA,"2021-09-29"
"be",16075.4946555556,11381.7,14580.3510087808,3966.23325,60927.9825,1.00394820487395,534.697814109016,22,NA,NA,"2021-09-30"
"be",16070.0945222222,11375.85,14575.2357270301,3964.52975,60871.0475,1.00389773105346,534.587895992653,23,NA,NA,"2021-10-01"
"be",16064.0686777778,11369.7,14569.3231088002,3962.932,60807.1925,1.00389447407287,534.6773298453,24,NA,NA,"2021-10-02"
"be",16057.4291333333,11366.45,14562.6279953206,3961.4845,60739.005,1.00388443015854,534.881085137711,25,NA,NA,"2021-10-03"
"be",16050.2383888889,11363.9,14555.2197834202,3960.1865,60669.9725,1.00390431535544,535.082990617543,26,NA,NA,"2021-10-04"
"be",16042.5900444444,11361.2,14547.2202376388,3959.025,60614.5825,1.00390287645765,535.217568146478,27,NA,NA,"2021-10-05"
"be",16034.5998333333,11358.45,14538.7734412721,3957.9565,60591.395,1.00391031829042,535.187579926266,28,NA,NA,"2021-10-06"
"be",16026.3867666667,11355.2,14530.0470347106,3956.921,60565.385,1.00393091128089,535.386579543462,29,NA,NA,"2021-10-07"
"be",16018.0791,11351.7,14521.2314986348,3955.87475,60535.075,1.00392879140882,535.22256521608,30,NA,NA,"2021-10-08"
"be",16009.7900555556,11348.15,14512.507964118,3954.767,60499.35,1.00392459903547,534.987632844809,31,NA,NA,"2021-10-09"
"be",16001.6200555556,11344.1,14504.0440224831,3953.58275,60457.985,1.0039309466582,534.855260166377,32,NA,NA,"2021-10-10"
"be",15993.6623444444,11339.5,14495.9787875288,3952.3185,60411.4325,1.00394991450906,535.132147809326,33,NA,NA,"2021-10-11"
"be",15986.015,11334.35,14488.4379756248,3951.00075,60361.86,1.00398468831793,535.104431267252,34,NA,NA,"2021-10-12"
"be",15978.7864555556,11327.25,14481.5402063379,3949.6655,60339.33,1.00407367615922,534.919496569852,35,NA,NA,"2021-10-13"
"be",15972.1137777778,11321.35,14475.4155155034,3948.3505,60330,1.00401479818792,535.001381578203,36,NA,NA,"2021-10-14"
"be",15966.1774111111,11317,14470.2284018584,3947.111,60327.5225,1.00409377011869,534.720211263273,37,NA,NA,"2021-10-15"
"be",15961.1954111111,11311.8,14466.1653899316,3946.0145,60333.5275,1.00405780937306,535.619214644026,38,NA,NA,"2021-10-16"
"be",15957.4152111111,11308.3,14463.4294359537,3945.125,60349.1275,1.00405541600684,535.77706589081,39,NA,NA,"2021-10-17"
"be",15955.0811555556,11306.55,14462.2138518598,3944.515,60374.3025,1.00407996810108,536.089394400546,40,NA,NA,"2021-10-18"
"be",15954.4041111111,11306.2,14462.655590679,3944.23275,60399.81,1.00412863110065,536.113467877943,41,NA,NA,"2021-10-19"
"be",15955.5115666667,11305.5,14464.825675062,3944.3265,60421.595,1.00409499138094,536.324355612177,42,NA,NA,"2021-10-20"
"be",15958.4213666667,11305.75,14468.6870953311,3944.798,60448.9425,1.00410798168709,536.207217057531,43,NA,NA,"2021-10-21"
"be",15963.0344111111,11307,14474.1091295595,3945.62675,60481.8125,1.00404841759266,535.399087350989,44,NA,NA,"2021-10-22"
"be",15969.1364666667,11309.2,14480.8511842451,3946.77,60519.3225,1.00404998023977,535.610880583469,45,NA,NA,"2021-10-23"
"be",15976.4275555556,11312.1,14488.6184723313,3948.1665,60560.2,1.00405192737048,535.539525225325,46,NA,NA,"2021-10-24"
"be",15984.5495,11315.6,14497.0504025209,3949.756,60602.7825,1.00405458869045,535.390921151703,47,NA,NA,"2021-10-25"
"be",15993.1243111111,11319.4,14505.7770385221,3951.45825,60645.2175,1.0040205114024,535.344737156179,48,NA,NA,"2021-10-26"
"be",16001.7835,11323.5,14514.4382445761,3953.21725,60685.6,1.00400575201724,535.112533182166,49,NA,NA,"2021-10-27"
"be",16010.1816666667,11327.55,14522.6903368568,3954.96075,60722.2325,1.00399671914062,534.895153921152,50,NA,NA,"2021-10-28"
"be",16018.0183333333,11331.7,14530.24528977,3955.9885,60753.38,1.00398944992934,534.653911070434,51,NA,NA,"2021-10-29"
"be",16025.0472555556,11335.85,14536.8630428948,3956.67,60777.7575,1.0039986282154,534.735719165794,52,NA,NA,"2021-10-30"
"be",16031.0982444444,11339.9,14542.3836208522,3957.36325,60794.465,1.00399916157484,534.687403226247,53,NA,NA,"2021-10-31"
"be",16036.0584888889,11344,14546.7195887289,3958.032,60803.1075,1.00398046566286,534.825985971029,54,NA,NA,"2021-11-01"
"be",16039.8993666667,11348.05,14549.8636727107,3958.6615,60803.9125,1.00396232071756,534.610711261081,55,NA,NA,"2021-11-02"
"be",16042.6664666667,11352.05,14551.8957470769,3959.226,60797.97,1.00396657233852,534.484232563188,56,NA,NA,"2021-11-03"
"be",16044.4583111111,11356,14552.9613054622,3959.74175,60786.945,1.00396947466654,534.670575738598,57,NA,NA,"2021-11-04"
"be",16045.4235222222,11359.8,14553.2495771262,3960.21975,60773.2025,1.00397266195626,534.852043986702,58,NA,NA,"2021-11-05"
"be",16045.7203888889,11363.35,14552.9698585597,3960.67675,60759.06,1.00397249624537,534.867279170668,59,NA,NA,"2021-11-06"
"be",16045.5057333333,11366.6,14552.31132655,3960.35725,60746.5925,1.00402187129289,535.289921020145,60,NA,NA,"2021-11-07"
"be",16044.9207444444,11369.45,14551.4312338968,3959.7335,60737.3475,1.00400333924183,535.197962337773,61,NA,NA,"2021-11-08"
"be",16044.0687777778,11371.75,14550.4362103074,3959.112,60732.0725,1.0040092214995,535.38631727437,62,NA,NA,"2021-11-09"
"be",16043.0303666667,11373.55,14549.3891553555,3958.5545,60730.94,1.00400734650358,535.277473268587,63,NA,NA,"2021-11-10"
"be",16041.8597444444,11374.65,14548.3171060892,3958.098,60734.3775,1.00400985153839,535.157825635446,64,NA,NA,"2021-11-11"
"be",16040.6070666667,11375.1,14547.2324764842,3957.779,60741.245,1.00402405944817,535.00385100007,65,NA,NA,"2021-11-12"
"be",16039.2977888889,11374.75,14546.1262404923,3957.58875,60750.4225,1.00402755615657,534.922123573371,66,NA,NA,"2021-11-13"
"be",16037.9828888889,11373.65,14545.0029469029,3957.53425,60761.065,1.00400063671785,534.97961490189,67,NA,NA,"2021-11-14"
"be",16036.7018444444,11371.8,14543.880160455,3957.593,60772.585,1.00400775459519,534.970177010369,68,NA,NA,"2021-11-15"
"be",16035.5215222222,11369.25,14542.7947274238,3957.7435,60784.4,1.00399874050347,534.890700513033,69,NA,NA,"2021-11-16"
"be",16034.5151,11366.1,14541.8227289597,3957.9605,60796.39,1.00400163378807,535.311978915366,70,NA,NA,"2021-11-17"
"be",16033.7637777778,11361.95,14541.0516921243,3958.22975,60808.1975,1.0039910093048,535.365610483295,71,NA,NA,"2021-11-18"
"be",16033.3447666667,11358.35,14540.5844556661,3958.52325,60819.875,1.00396590756626,535.289550900242,72,NA,NA,"2021-11-19"
"be",16033.3086,11355.4,14540.5043456563,3958.844,60831.085,1.00401177659226,535.518314855297,73,NA,NA,"2021-11-20"
"be",16033.6891666667,11352.45,14540.8740311623,3959.17975,60841.8,1.00395640234005,535.58378874855,74,NA,NA,"2021-11-21"
"be",16034.4721111111,11350.05,14541.7080595496,3959.524,60851.8025,1.00397110073495,535.789173292553,75,NA,NA,"2021-11-22"
"be",16035.6147,11348.3,14542.9796510029,3959.8845,60860.96,1.00396104226783,535.828477475246,76,NA,NA,"2021-11-23"
"be",16037.0331111111,11347.35,14544.6095161611,3960.23325,60868.9025,1.00397283730044,535.727092072741,77,NA,NA,"2021-11-24"
"be",16038.6167333333,11347,14546.4823876841,3960.55175,60875.65,1.00397588378843,535.852381966645,78,NA,NA,"2021-11-25"
"be",16040.2335777778,11347.2,14548.4481542413,3960.81625,60880.7125,1.00396205843483,535.329335910735,79,NA,NA,"2021-11-26"
"be",16041.7378666667,11347.7,14550.3457838531,3960.97625,60883.9425,1.00397315608381,535.077728578049,80,NA,NA,"2021-11-27"
"be",16042.9827444444,11348.4,14551.9984434535,3961.007,60884.95,1.00398613164127,534.991332807012,81,NA,NA,"2021-11-28"
"be",16043.8266222222,11349,14553.241189431,3960.86225,60883.4775,1.00398858060735,534.976900264942,82,NA,NA,"2021-11-29"
"be",16044.1417,11349.4,14553.9211960101,3960.51625,60879.0825,1.00399873190659,534.837906020896,83,NA,NA,"2021-11-30"
"be",16043.8122,11349.45,14553.9046895641,3959.938,60871.365,1.00398825013222,534.71096813679,84,NA,NA,"2021-12-01"
"be",16042.7423888889,11348.9,14553.0812943623,3959.0975,60859.835,1.00398233192023,534.692014419934,85,NA,NA,"2021-12-02"
"be",16040.8498444444,11347.8,14551.359401532,3957.9885,60844.1125,1.00398105632722,534.791566501826,86,NA,NA,"2021-12-03"
"be",16038.0590888889,11346,14548.6702498536,3956.58725,60823.575,1.00397052968499,534.754324681311,87,NA,NA,"2021-12-04"
"be",16034.3095333333,11343.5,14544.955018625,3954.8985,60797.91,1.00397588748346,534.679106576484,88,NA,NA,"2021-12-05"
"be",16029.5504555556,11340.3,14540.1827326621,3952.9085,60766.8475,1.00398289755118,534.63692673487,89,NA,NA,"2021-12-06"
"be",16023.7535888889,11336.5,14534.3388133456,3950.614,60730.475,1.00399516913577,534.694242679796,90,NA,NA,"2021-12-07"
"be",16016.9097777778,11332.05,14527.442787578,3948.01075,60689.57,1.00399845418124,534.760525207305,91,NA,NA,"2021-12-08"
"be",16009.0466,11327.25,14519.5490009026,3945.13125,60645.5175,1.0040138674544,534.959845911347,92,NA,NA,"2021-12-09"
"be",16000.2245333333,11322.1,14510.7533397858,3941.997,60600.435,1.00406443046717,534.892568826065,93,NA,NA,"2021-12-10"
"be",15990.5490222222,11316.75,14501.2105255768,3938.66425,60557.195,1.00407427142385,535.231018759282,94,NA,NA,"2021-12-11"
"be",15980.1681444444,11311.35,14491.132613237,3935.2245,60518.855,1.00408373113446,535.527109997578,95,NA,NA,"2021-12-12"
"be",15969.2694555556,11306,14480.7905778285,3931.7915,60476.33,1.00409513804551,535.392999889514,96,NA,NA,"2021-12-13"
"be",15958.0753,11301.7,14470.4920557566,3928.50425,60424.265,1.00413227707592,536.454732228188,97,NA,NA,"2021-12-14"
"be",15946.8243777778,11299.2,14460.5640572245,3925.505,60381.3925,1.00414303398103,536.569033682827,98,NA,NA,"2021-12-15"
"be",15935.7480888889,11297.2,14451.2953523386,3922.92075,60348.065,1.00411250984348,536.563122003019,99,NA,NA,"2021-12-16"
"be",15925.0475888889,11295.8,14442.9046873889,3920.8575,60324.0425,1.0041332685661,536.952603191649,100,NA,NA,"2021-12-17"
"Rt",0.944618586666667,0.9398675,0.15785841619967,0.671790675,1.276535,1.003478298362,1166.28678250688,1,NA,NA,"2021-09-09"
"Rt",0.966970102222222,0.9598515,0.155420645550898,0.696163325,1.29163825,1.00367984074487,1177.96072326532,2,NA,NA,"2021-09-10"
"Rt",0.993443521111111,0.9823865,0.153408069678413,0.73646605,1.31003075,0.999269461699355,1093.33435125262,3,NA,NA,"2021-09-11"
"Rt",1.02256374333333,1.008215,0.150161977949063,0.7585085,1.32388075,0.999105990251863,1028.4047299641,4,NA,NA,"2021-09-12"
"Rt",1.05257368111111,1.04182,0.14624518839446,0.7982413,1.3691945,0.998780290738896,915.077777300564,5,NA,NA,"2021-09-13"
"Rt",1.08155204777778,1.07107,0.142985015141121,0.83757865,1.40754825,0.99947083334574,855.413262659988,6,NA,NA,"2021-09-14"
"Rt",1.10759909333333,1.098215,0.14104256638116,0.859938275,1.417863,1.00292773403532,841.435851973443,7,NA,NA,"2021-09-15"
"Rt",1.12913686666667,1.123045,0.140727633278385,0.87569905,1.420707,1.0030432650084,903.336494712879,8,NA,NA,"2021-09-16"
"Rt",1.14523438,1.13907,0.142505328539658,0.8866167,1.44838675,0.999629275510645,978.625261294469,9,NA,NA,"2021-09-17"
"Rt",1.15582267111111,1.155955,0.146615264292411,0.881272525,1.4605415,0.999738924764937,1033.30830612358,10,NA,NA,"2021-09-18"
"Rt",1.16173395777778,1.163,0.152864342115364,0.8693518,1.4790825,1.00287972332843,1426.02131873746,11,NA,NA,"2021-09-19"
"Rt",1.16453479555556,1.165765,0.160947786337161,0.85034115,1.492254,1.00242575777138,1332.07103598649,12,NA,NA,"2021-09-20"
"Rt",1.16619779555556,1.16829,0.170557250984242,0.83531965,1.51662225,1.00170321187774,1198.57854939459,13,NA,NA,"2021-09-21"
"Rt",1.16871761555556,1.17254,0.181288994312199,0.826545925,1.54681325,1.00372211127273,1074.67758804167,14,NA,NA,"2021-09-22"
"Rt",1.17377922888889,1.178055,0.192617514210744,0.8224776,1.57128425,1.0048015058902,999.105560856215,15,NA,NA,"2021-09-23"
"Rt",1.18251775888889,1.180455,0.203739222243717,0.8188659,1.585387,1.00565841160053,946.168361589682,16,NA,NA,"2021-09-24"
"Rt",1.19537496222222,1.194715,0.213440326415389,0.814701625,1.624062,1.00259602048068,922.771631059854,17,NA,NA,"2021-09-25"
"Rt",1.21205342222222,1.206615,0.220681123242991,0.83039685,1.67234875,1.00390457935375,937.679627297447,18,NA,NA,"2021-09-26"
