"X","t","mean","lower","upper","variable","date"
109,9,0.00687720791250512,-0.020272165719709,0.0320742407615074,"rt","2021-09-17"
110,10,0.00942965629677862,-0.0149118136052788,0.0338934593032838,"rt","2021-09-18"
111,11,0.0117438293332019,-0.0103373200414958,0.0340072759903876,"rt","2021-09-19"
112,12,0.0138600102042229,-0.0065098560386281,0.0363442646022683,"rt","2021-09-20"
113,13,0.0158981692576486,-0.00596659557742899,0.0401799293608868,"rt","2021-09-21"
114,14,0.0178804876537964,-0.00748715894588587,0.0436415626530637,"rt","2021-09-22"
115,15,0.0198070532167991,-0.00568515380476816,0.047000277706306,"rt","2021-09-23"
116,16,0.021677927963407,-0.00608708799804261,0.0497564552834141,"rt","2021-09-24"
117,17,0.0235163280435964,-0.00779196626269617,0.0524605316108423,"rt","2021-09-25"
118,18,0.0253823763389183,-0.0093887877768531,0.0570281869182317,"rt","2021-09-26"
119,19,0.0272857233763914,-0.00917035003419226,0.0602234803943857,"rt","2021-09-27"
120,20,0.029226594489008,-0.00704969291548666,0.0627217826026,"rt","2021-09-28"
121,21,0.0312046076222559,-0.00305127904884348,0.0643511632623084,"rt","2021-09-29"
122,22,0.0331195392426536,-0.000815090835188993,0.0695435858401061,"rt","2021-09-30"
123,23,0.0347484346068479,-0.000628579417460751,0.0714584422126347,"rt","2021-10-01"
124,24,0.0360618995503406,0.00138088695386682,0.0735079060044233,"rt","2021-10-02"
125,25,0.0370610174752333,0.00365201622558588,0.0738620103017589,"rt","2021-10-03"
126,26,0.0377465154726302,0.00395002579087305,0.0700966827436752,"rt","2021-10-04"
127,27,0.0380873503462996,0.00652693205854836,0.0722999914717186,"rt","2021-10-05"
128,28,0.0380227873867523,0.00594213302468605,0.0742489443099643,"rt","2021-10-06"
129,29,0.0375469298104429,0.00431918629542259,0.0736232426077969,"rt","2021-10-07"
130,30,0.0366613098131474,0.00634001291338908,0.0708104800196671,"rt","2021-10-08"
131,31,0.0353677109496105,0.00721523712725387,0.0690647850463872,"rt","2021-10-09"
132,32,0.0336922345990847,0.0067859119669077,0.065687747179907,"rt","2021-10-10"
133,33,0.0316782023354644,0.00391875621908012,0.064907953794612,"rt","2021-10-11"
134,34,0.0293306189930125,1.12325020831158e-05,0.0634095390346012,"rt","2021-10-12"
135,35,0.0266504831838287,-0.00368278139811367,0.0595528021901503,"rt","2021-10-13"
136,36,0.0236379606316454,-0.00664980772590088,0.0590811197732422,"rt","2021-10-14"
137,37,0.0202699227851779,-0.0115899019024453,0.0574154716148545,"rt","2021-10-15"
138,38,0.0165122175947156,-0.0179585514116102,0.0576999061432939,"rt","2021-10-16"
139,39,0.0123625092879609,-0.0245054474858969,0.0534295902113973,"rt","2021-10-17"
140,40,0.0078213508553909,-0.0266051786483755,0.0449299465008181,"rt","2021-10-18"
141,41,0.0028909395890819,-0.02899747615237,0.0386581608173067,"rt","2021-10-19"
142,42,-0.00234618963440151,-0.0344898729563763,0.0316193398962944,"rt","2021-10-20"
143,43,-0.00778278059698475,-0.0372288639802709,0.0223142779963474,"rt","2021-10-21"
144,44,-0.0134124434918039,-0.0430664522455701,0.0150426037968321,"rt","2021-10-22"
145,45,-0.0192361706777211,-0.0454957234627546,0.00505318684796392,"rt","2021-10-23"
146,46,-0.0252250899049768,-0.0486001499099559,-0.00124706785656067,"rt","2021-10-24"
