"X","variable","mean","median","sd","lower","upper","rhat","ess_bulk"
209,"Y_hat[100]",-5.32435154444444,-5.32423,0.0713592727663099,-5.46235525,-5.186388,1.00273533786794,846.504953191354
210,"Y_hat[101]",-5.29026552222222,-5.28876,0.0708452672688001,-5.42968975,-5.1552465,1.00498047645135,859.26212162044
211,"Y_hat[102]",-5.25659298888889,-5.25348,0.0714666252564046,-5.3919765,-5.11692425,1.00422318989541,876.572022003794
212,"Y_hat[103]",-5.22316242222222,-5.2211,0.0729444497886693,-5.36321325,-5.08528975,1.00417552857201,894.178189475579
213,"Y_hat[104]",-5.18981235555556,-5.18762,0.0749055365214362,-5.33166325,-5.04741125,1.00336712855934,894.946173230991
214,"Y_hat[105]",-5.15645814444444,-5.154895,0.0772887771001058,-5.30363575,-5.00452975,1.00333843915445,883.337694434504
215,"Y_hat[106]",-5.12304788888889,-5.122745,0.0800720481502883,-5.2784765,-4.9695505,1.00305594752854,876.785274273476
216,"Y_hat[107]",-5.08952845555556,-5.089085,0.0830259394860075,-5.261674,-4.92926325,1.00235187912096,840.73703397426
217,"Y_hat[108]",-5.05584841111111,-5.054475,0.0857571545430156,-5.236344,-4.89168575,1.00165232319511,827.104922271028
218,"Y_hat[109]",-4.68098092222222,-4.679955,0.0714516877447515,-4.821028,-4.5521605,1.00020369830045,957.358181399268
219,"Y_hat[110]",-4.64915712222222,-4.64818,0.066727772689527,-4.77712875,-4.5272035,0.999416971917871,954.039703445841
220,"Y_hat[111]",-4.61871581111111,-4.618295,0.0623677456026345,-4.739606,-4.500028,0.9992851539025,973.76834513468
221,"Y_hat[112]",-4.59002615555556,-4.588195,0.0587245585696234,-4.7071225,-4.47992725,0.998950917887769,946.514969928961
222,"Y_hat[113]",-4.56345773333333,-4.56179,0.0559164956605727,-4.67600675,-4.457184,0.998190706698699,921.872645398971
223,"Y_hat[114]",-4.53939223333333,-4.536885,0.0540306591888489,-4.644378,-4.43707075,0.998732588382511,897.547333661857
224,"Y_hat[115]",-4.51824185555556,-4.515335,0.053301844277083,-4.624537,-4.4107895,0.998515379938596,891.846658926907
225,"Y_hat[116]",-4.50042207777778,-4.496275,0.0536997047012319,-4.61032775,-4.392193,0.999268554789841,906.255557663685
226,"Y_hat[117]",-4.48634943333333,-4.48272,0.0547559841398396,-4.59638675,-4.37958675,0.998465501241045,938.300453270876
227,"Y_hat[118]",-4.47643673333333,-4.473475,0.0557752741035879,-4.5845825,-4.37176175,0.998273451624314,975.11351712067
228,"Y_hat[119]",-4.47075606666667,-4.468625,0.0565034365662813,-4.57597125,-4.368256,0.998892424851541,1031.59726429589
229,"Y_hat[120]",-4.46875995555556,-4.467705,0.0574297894351858,-4.57946425,-4.36385075,0.999272879686147,1080.66242414732
230,"Y_hat[121]",-4.4698344,-4.471895,0.0589790661225252,-4.584595,-4.3551245,0.998777677843846,1133.62738797504
231,"Y_hat[122]",-4.47336514444444,-4.47397,0.0612170862998255,-4.592993,-4.3537215,1.00000942442161,1165.56663000348
232,"Y_hat[123]",-4.47874368888889,-4.480925,0.0639313629616693,-4.60781,-4.354606,1.00203345103187,1178.20901843225
233,"Y_hat[124]",-4.48560775555556,-4.48812,0.0670281142802546,-4.618389,-4.351311,1.00482368857237,1179.52409111241
234,"Y_hat[125]",-4.4939487,-4.497235,0.0706096080960853,-4.6303675,-4.3512905,1.00590649688494,1152.61798476668
235,"Y_hat[126]",-4.5037842,-4.50653,0.0745919930641448,-4.64747775,-4.354562,1.00340077311158,1124.89920070478
236,"Y_hat[127]",-4.69586185555556,-4.69082,0.0847885307124705,-4.859141,-4.538014,0.998948628157874,1113.69025970112
237,"Y_hat[128]",-4.71727241111111,-4.713455,0.0814981208656748,-4.878184,-4.5656755,1.00088971843285,1113.09281748217
238,"Y_hat[129]",-4.73838734444444,-4.735165,0.077659476258041,-4.893771,-4.595567,1.00044924239373,1112.02252006958
239,"Y_hat[130]",-4.75884507777778,-4.75595,0.073775538405819,-4.9105865,-4.6274705,1.00121809975573,1102.99886550413
240,"Y_hat[131]",-4.77828253333333,-4.77545,0.0702423410368097,-4.92119975,-4.6527475,1.00084800331661,1081.47656341241
241,"Y_hat[132]",-4.7963368,-4.79324,0.0672127520409046,-4.9316565,-4.67802525,0.999463811688104,1074.5286993658
242,"Y_hat[133]",-4.81266836666667,-4.810455,0.0646651455865155,-4.9381925,-4.6984515,0.999794466539017,1048.76022775014
243,"Y_hat[134]",-4.82716582222222,-4.825325,0.0627527749812212,-4.9496295,-4.7132535,1.00132680883496,1013.01798180671
244,"Y_hat[135]",-4.83984142222222,-4.838165,0.0617186307596589,-4.95943525,-4.72576775,1.00195715068786,980.522275637092
245,"Y_hat[136]",-4.85070902222222,-4.848325,0.0615986368734842,-4.9682125,-4.7329695,1.00096597509674,956.990905291698
246,"Y_hat[137]",-4.85978227777778,-4.85832,0.062178691114662,-4.978178,-4.74032,0.9991612272122,945.396121655581
247,"Y_hat[138]",-4.86710538888889,-4.864875,0.0632570532910051,-4.991036,-4.74715575,0.999460108767792,958.553672353809
248,"Y_hat[139]",-4.87293484444444,-4.87119,0.0651721073948776,-5.0045875,-4.75048325,1.00032359544357,971.595986914077
249,"Y_hat[140]",-4.87761617777778,-4.875375,0.0684281045245493,-5.0160445,-4.75050475,1.00191962092944,1002.09836290873
250,"Y_hat[141]",-4.88149638888889,-4.87797,0.073296899375242,-5.034638,-4.7394115,1.0030739023713,1035.66364214991
251,"Y_hat[142]",-4.88492155555556,-4.881215,0.0798181979399616,-5.05067025,-4.7282455,1.00231004818792,1045.6790422851
252,"Y_hat[143]",-4.88819648888889,-4.884375,0.0880410988003953,-5.07662375,-4.72273175,1.00200421925919,1059.81382723754
253,"Y_hat[144]",-4.89140231111111,-4.88915,0.0982794917993307,-5.10621025,-4.70978075,1.00147516665252,1069.1110238884
254,"Y_hat[145]",-4.8945486,-4.89052,0.110749781071484,-5.1365585,-4.68641625,1.00192295189378,1085.83612327763
255,"Y_hat[146]",-4.89764377777778,-4.894645,0.125433759496029,-5.16515275,-4.66019025,1.00169366781693,1108.69164362653
256,"Y_hat[147]",-4.90069601111111,-4.899975,0.142196060209991,-5.1922175,-4.62783225,1.00235450065191,1135.56385803447
257,"effective_n",3876.70408888889,3817.555,872.280886919676,2418.82975,5871.11025,1.01125738015333,749.797664976721
258,"P[1]",0.00349597671666667,0.003248185,0.00151831430877071,0.00136201125,0.0071367075,1.01117610056,606.960089452081
259,"P[2]",0.00332231702222222,0.0031438,0.00132234904728618,0.00136986375,0.006456623,1.01069762890176,622.451375158808
260,"P[3]",0.003161263,0.003018995,0.00115464352763171,0.00138147675,0.005821116,1.00993172955643,644.262371795244
261,"P[4]",0.00301148989777778,0.00289583,0.00101102538968205,0.00138357975,0.00529436325,1.00909393413018,669.8332245004
262,"P[5]",0.00287176506111111,0.00278283,0.000887658416273738,0.001399647,0.004796588,1.00826991439048,698.821868438411
263,"P[6]",0.00274096336444444,0.00266542,0.000781145324461456,0.001424178,0.004358671,1.00725994293519,731.39727898743
264,"P[7]",0.00261808541777778,0.0025577,0.000688697852423611,0.0014242795,0.0040121245,1.00652466826608,760.7208382489
265,"P[8]",0.00250223543777778,0.00245635,0.000608300770271753,0.00144158375,0.00374604,1.00569685503152,786.688066687199
266,"P[9]",0.00239262526555556,0.002347715,0.000538355939993105,0.00142220075,0.00348676675,1.00468528829788,820.681489273921
267,"P[10]",0.00228853130777778,0.00224638,0.000477337424790793,0.00143902375,0.003237843,1.00363919825802,863.389733059295
268,"P[11]",0.00218929062222222,0.002155995,0.000423727239813029,0.0014378445,0.0030519855,1.00256038394446,906.172720213579
269,"P[12]",0.00209444205555556,0.002066465,0.000376403837996071,0.00143169425,0.002877214,1.00182457276362,947.96195865449
270,"P[13]",0.00200386347777778,0.00198129,0.00033506989853216,0.0014128525,0.00269931325,1.00123111841799,977.167231386877
271,"P[14]",0.00191747414444444,0.00189982,0.000299592363821802,0.00137282,0.0025308175,1.00049387829943,1011.72451077699
272,"P[15]",0.00183516734444444,0.001819395,0.000269702979221699,0.00133528925,0.00240628,1.00009562947068,1022.39666859539
273,"P[16]",0.00175681791111111,0.00174713,0.000244963994649435,0.00130025625,0.00229644725,0.999906534874805,1015.3145210113
274,"P[17]",0.00168246935555556,0.001671665,0.000224994383705028,0.00125936325,0.0021700725,1.00011649102123,998.876663696321
275,"P[18]",0.00161243638888889,0.001596425,0.000209565775408705,0.00122568225,0.00208805625,1.00045889211384,969.088448607481
276,"P[19]",0.00154697392333333,0.001535455,0.000198252415224829,0.0011835105,0.0019931915,1.00059784527515,851.298426327067
277,"P[20]",0.00148624712,0.00147977,0.000190348038052024,0.0011416785,0.0019060705,1.00089144053878,747.5892472751
278,"P[21]",0.00143035442555556,0.001424655,0.000185032584453747,0.00109161275,0.00182737725,1.00108103458186,660.887642339942
279,"P[22]",0.00137927266444444,0.00137664,0.000181788095613778,0.00105027175,0.001761137,1.00127435903943,622.402478253817
280,"P[23]",0.00133284233888889,0.00132695,0.000180430548662835,0.00100957625,0.00171472425,1.00236710530351,595.630904811225
281,"P[24]",0.00129089198,0.00128551,0.000180677179610122,0.000958431625,0.00166287525,1.00256972636059,575.246921476143
282,"P[25]",0.00125324128222222,0.00124755,0.000182114623767622,0.000917117425,0.001634613,1.00348702983596,565.598583197879
283,"P[26]",0.00121970828444444,0.0012106,0.000184312187443851,0.000874351275,0.0016142765,1.00438060395254,575.996440856995
284,"P[27]",0.00119001028333333,0.00118453,0.000187048428624192,0.000847837925,0.0015996765,1.00578734741013,582.987278987036
285,"P[28]",0.00116376565777778,0.00115311,0.000190281828358131,0.000827360175,0.001579596,1.00893632123895,604.984787374591
286,"P[29]",0.00114061958444444,0.00112668,0.000193922716036746,0.0007997688,0.00156216725,1.00922136653014,631.72323221311
287,"P[30]",0.00112024148777778,0.00110504,0.00019780842984011,0.000767304975,0.0015601315,1.00896039709164,661.647377979849
288,"P[31]",0.00110233067222222,0.001090905,0.000201780559566022,0.00074542,0.001542942,1.00949218879467,687.159979814612
289,"P[32]",0.00108661985666667,0.001071235,0.000205836788165621,0.000722420175,0.00156379775,1.01028305974985,727.972620773451
290,"P[33]",0.000911311088888889,0.000892582,0.00018348520921462,0.00060288605,0.001320935,1.00408087279697,832.125539977691
291,"P[34]",0.000895862253333333,0.000876916,0.000174837717808775,0.000593960525,0.00128165,1.00469628269057,809.601793455436
292,"P[35]",0.000879318456666667,0.000862193,0.000166486439840754,0.00058760385,0.001247931,1.0051484186648,780.862174893699
293,"P[36]",0.000861791767777778,0.0008468145,0.000158741127587543,0.000577855025,0.00122010725,1.00562355239655,754.357032617555
294,"P[37]",0.000843372766666667,0.0008315295,0.000151760114801982,0.00056982765,0.001186805,1.0058600495426,750.693844039982
295,"P[38]",0.000824130908888889,0.0008142535,0.00014554869909394,0.000560306275,0.0011491705,1.00572167211593,758.445529148097
296,"P[39]",0.000804153741111111,0.000794759,0.000140069550561733,0.00055906735,0.0010987075,1.00513114504035,775.253679430748
297,"P[40]",0.000783629951111111,0.0007731025,0.000135393766622183,0.000546552875,0.001069692,1.00488654677343,795.428596699541
298,"P[41]",0.000762752922222222,0.0007560635,0.000131528812693625,0.000529041025,0.00104982275,1.00406982902358,825.164131520019
299,"P[42]",0.000741684526666667,0.00073574,0.000128343461120441,0.0005180429,0.0010167235,1.00338138968965,855.052067532746
300,"P[43]",0.000720558887777778,0.000715048,0.000125618267566279,0.000504074925,0.0009880632,1.00258558942942,888.38050029897
301,"P[44]",0.000699500008888889,0.000692266,0.000123193164577218,0.000480145075,0.00096001395,1.00185156320152,921.19983021903
302,"P[45]",0.000678639842222222,0.0006722045,0.000121103301900902,0.000464425075,0.0009472663,1.00130395987378,950.084589148054
303,"P[46]",0.000658097758888889,0.0006512835,0.000119387308104287,0.00044340035,0.0009254776,1.00167919254389,982.959991135143
304,"P[47]",0.000637969207777778,0.0006317535,0.000118003448446086,0.00042782925,0.0009105907,1.00000831158163,1020.11099887302
305,"P[48]",0.000618327262222222,0.0006104315,0.000116844225914961,0.0004108409,0.000883119675,0.999727415546314,1061.06338263321
306,"P[49]",0.00059923994,0.00058905,0.000115826702460691,0.00039760905,0.0008541288,0.99879130220172,1094.7901674186
307,"P[50]",0.000580784135555556,0.000570731,0.000114950405319572,0.00038004725,0.000832339675,0.998684661809568,1121.12506036521
308,"P[51]",0.000563020424444444,0.0005544365,0.000114181445434338,0.00036606065,0.000818552125,0.998349192313101,1144.73548152474
309,"P[52]",0.00037762753,0.0003722665,8.38138667445036e-05,0.000235548875,0.0005631279,0.999980533757926,1233.40228574646
310,"P[53]",0.000373632544444444,0.000367814,8.20637892714416e-05,0.000235002825,0.0005558082,1.00040058757008,1213.23898119317
311,"P[54]",0.00037047527,0.000365355,8.05249913055441e-05,0.0002338409,0.000548512975,1.00091529903523,1205.67034196723
312,"P[55]",0.000368180787777778,0.0003620995,7.92570286191986e-05,0.0002303416,0.00054226595,1.00128593842914,1203.35200010341
313,"P[56]",0.00036676908,0.0003604935,7.82667374356087e-05,0.000232663175,0.00053412965,1.00157838968163,1178.14697917381
314,"P[57]",0.000366256828888889,0.0003596105,7.75221024009305e-05,0.0002306584,0.000530805675,1.00180366554175,1161.15655772676
315,"P[58]",0.000366646868888889,0.00036026,7.70126357632718e-05,0.0002304017,0.000529114175,1.00214477408631,1151.57414417319
316,"P[59]",0.000367935582222222,0.0003639765,7.67535145682702e-05,0.00023478055,0.0005326551,1.00250824946086,1106.55122036969
317,"P[60]",0.000370121288888889,0.000366081,7.67460060836949e-05,0.000237304925,0.000532874475,1.00291673847067,1062.78587216805
318,"P[61]",0.000373203057777778,0.0003682955,7.69715646467156e-05,0.0002388115,0.000534256975,1.00310691262665,1023.1804085482
319,"P[62]",0.000377182996666667,0.0003721415,7.7410883234538e-05,0.000242345,0.000538162125,1.00339941975259,980.363318679522
320,"P[63]",0.000382065238888889,0.0003767955,7.80890740486887e-05,0.000245067825,0.000548976975,1.00368151034739,924.88126264644
321,"P[64]",0.000387855113333333,0.0003830905,7.90449412560321e-05,0.000249991275,0.00055510415,1.00387905636122,899.008841922309
322,"P[65]",0.000394556172222222,0.0003899095,8.02862424971539e-05,0.0002548985,0.000559251925,1.0042211749832,870.125267176785
323,"P[66]",0.000402168818888889,0.0003975655,8.17820674291979e-05,0.00025869395,0.00057387065,1.00437694563014,834.104225458527
324,"P[67]",0.000410701205555556,0.000405577,8.34912117096945e-05,0.00026696925,0.000590180425,1.00428296170953,818.065274729173
325,"P[68]",0.000420220131111111,0.0004138485,8.54354162858215e-05,0.000273656925,0.000610332675,1.00423572659904,797.663195096623
326,"P[69]",0.000430821398888889,0.00042337,8.76505197376622e-05,0.0002816587,0.000619976775,1.0042071301754,773.266970831536
327,"P[70]",0.000442602836666667,0.0004361595,9.0129078524776e-05,0.000287733175,0.000634795075,1.0042483245727,750.35975576999
328,"P[71]",0.000618774102222222,0.00061626,0.000114205761508975,0.000415101475,0.000855166025,1.00415407100852,778.528262384895
329,"P[72]",0.000648626825555556,0.0006441035,0.000116197079875755,0.000441690575,0.000886460475,1.00428214520414,791.51920274211
330,"P[73]",0.000681326755555556,0.0006757295,0.00011807323267079,0.00047263965,0.00091901125,1.00417783925214,815.166614138811
331,"P[74]",0.000717160713333333,0.000709987,0.000119895413292719,0.000507050975,0.0009599381,1.00429685120854,836.039529356091
332,"P[75]",0.000756368185555556,0.000745653,0.000121845577645969,0.0005406898,0.0010057715,1.00433750655315,875.22335929155
333,"P[76]",0.000799180627777778,0.0007872725,0.000124122155201498,0.00057886395,0.00105213225,1.00433986436968,904.440158865166
334,"P[77]",0.000845821854444444,0.000834821,0.000126856624564216,0.000620255025,0.0011096485,1.00422337153316,916.935514472205
335,"P[78]",0.000896502763333333,0.0008894155,0.000130087655504002,0.000665202175,0.00116586175,1.00381243697828,934.369750966928
336,"P[79]",0.000951454365555556,0.0009459305,0.000133878597662255,0.000713108075,0.00122704525,1.00332412918345,947.620198993945
337,"P[80]",0.00101097755,0.00100828,0.000138478685533454,0.000765296325,0.00130040975,1.00261561066327,979.270205602377
338,"P[81]",0.00107538472222222,0.001072295,0.000144123450188151,0.000823347875,0.0013729325,1.00194303874131,1005.38394165291
339,"P[82]",0.00114497631555556,0.001139925,0.000150885881993569,0.000884132125,0.00145341525,1.00135266617892,1023.28636209777
340,"P[83]",0.00122003947777778,0.0012126,0.000158653132213706,0.00094793425,0.00153029375,1.00075850926948,1046.32452400158
341,"P[84]",0.00130085675333333,0.001294595,0.000167438806469758,0.001013684,0.00162307575,1.00049334621485,1057.65430334095
342,"P[85]",0.00138769915,0.001381575,0.000177660927187124,0.00108222175,0.00173147825,1.00037129163373,1056.83964491638
343,"P[86]",0.00148080050555556,0.00147607,0.000189692537271359,0.00114212225,0.0018548185,1.00026369509959,1056.58074387312
344,"P[87]",0.00158032106666667,0.00157265,0.000203588215087051,0.00121131875,0.00197946475,1.00023141126239,1066.83846735657
345,"P[88]",0.00168633184777778,0.00168078,0.000219026181638226,0.00128521425,0.00211978725,1.00027900205997,1089.48310602953
346,"P[89]",0.00179886484777778,0.0017833,0.000235708728695164,0.00137349,0.00227094975,1.00002783770852,1117.84901416989
347,"P[90]",0.0019179436,0.001901775,0.000253620738075835,0.00146533475,0.002434639,0.999736769127344,1086.6396116348
348,"P[91]",0.00340104702222222,0.00337822,0.000371063352778343,0.00276108875,0.00418306825,0.997751615425853,1032.0039552699
349,"P[92]",0.00356568682222222,0.003549905,0.000369357317046135,0.0029328315,0.004334839,0.997593873905568,1026.1028470813
