t,value,iter,variable
60,5000.0,62,nSamples
61,5000.0,62,nSamples
62,5000.0,62,nSamples
63,5000.0,62,nSamples
64,5000.0,62,nSamples
65,5000.0,62,nSamples
66,5000.0,62,nSamples
67,5000.0,62,nSamples
68,5000.0,62,nSamples
69,5000.0,62,nSamples
70,5000.0,62,nSamples
71,5000.0,62,nSamples
72,5000.0,62,nSamples
73,5000.0,62,nSamples
74,5000.0,62,nSamples
75,5000.0,62,nSamples
76,5000.0,62,nSamples
77,5000.0,62,nSamples
78,5000.0,62,nSamples
79,5000.0,62,nSamples
80,5000.0,62,nSamples
81,5000.0,62,nSamples
82,5000.0,62,nSamples
83,5000.0,62,nSamples
84,5000.0,62,nSamples
85,5000.0,62,nSamples
86,5000.0,62,nSamples
87,5000.0,62,nSamples
88,5000.0,62,nSamples
89,5000.0,62,nSamples
90,5000.0,62,nSamples
91,5000.0,62,nSamples
92,5000.0,62,nSamples
93,5000.0,62,nSamples
94,5000.0,62,nSamples
95,5000.0,62,nSamples
96,5000.0,62,nSamples
97,5000.0,62,nSamples
98,5000.0,62,nSamples
99,5000.0,62,nSamples
100,5000.0,62,nSamples
1,5000.0,63,nSamples
2,5000.0,63,nSamples
3,5000.0,63,nSamples
4,5000.0,63,nSamples
5,5000.0,63,nSamples
6,5000.0,63,nSamples
7,5000.0,63,nSamples
8,5000.0,63,nSamples
9,5000.0,63,nSamples
10,5000.0,63,nSamples
11,5000.0,63,nSamples
12,5000.0,63,nSamples
13,5000.0,63,nSamples
14,5000.0,63,nSamples
15,5000.0,63,nSamples
16,5000.0,63,nSamples
17,5000.0,63,nSamples
18,5000.0,63,nSamples
19,5000.0,63,nSamples
20,5000.0,63,nSamples
21,5000.0,63,nSamples
22,5000.0,63,nSamples
23,5000.0,63,nSamples
24,5000.0,63,nSamples
25,5000.0,63,nSamples
26,5000.0,63,nSamples
27,5000.0,63,nSamples
28,5000.0,63,nSamples
29,5000.0,63,nSamples
30,5000.0,63,nSamples
31,5000.0,63,nSamples
32,5000.0,63,nSamples
33,5000.0,63,nSamples
34,5000.0,63,nSamples
35,5000.0,63,nSamples
36,5000.0,63,nSamples
37,5000.0,63,nSamples
38,5000.0,63,nSamples
39,5000.0,63,nSamples
40,5000.0,63,nSamples
41,5000.0,63,nSamples
42,5000.0,63,nSamples
43,5000.0,63,nSamples
44,5000.0,63,nSamples
45,5000.0,63,nSamples
46,5000.0,63,nSamples
47,5000.0,63,nSamples
48,5000.0,63,nSamples
49,5000.0,63,nSamples
50,5000.0,63,nSamples
51,5000.0,63,nSamples
52,5000.0,63,nSamples
53,5000.0,63,nSamples
54,5000.0,63,nSamples
55,5000.0,63,nSamples
56,5000.0,63,nSamples
57,5000.0,63,nSamples
58,5000.0,63,nSamples
59,5000.0,63,nSamples
60,5000.0,63,nSamples
61,5000.0,63,nSamples
62,5000.0,63,nSamples
63,5000.0,63,nSamples
64,5000.0,63,nSamples
65,5000.0,63,nSamples
66,5000.0,63,nSamples
67,5000.0,63,nSamples
68,5000.0,63,nSamples
69,5000.0,63,nSamples
70,5000.0,63,nSamples
71,5000.0,63,nSamples
72,5000.0,63,nSamples
73,5000.0,63,nSamples
74,5000.0,63,nSamples
75,5000.0,63,nSamples
76,5000.0,63,nSamples
77,5000.0,63,nSamples
78,5000.0,63,nSamples
79,5000.0,63,nSamples
80,5000.0,63,nSamples
81,5000.0,63,nSamples
82,5000.0,63,nSamples
83,5000.0,63,nSamples
84,5000.0,63,nSamples
85,5000.0,63,nSamples
86,5000.0,63,nSamples
87,5000.0,63,nSamples
88,5000.0,63,nSamples
89,5000.0,63,nSamples
90,5000.0,63,nSamples
91,5000.0,63,nSamples
92,5000.0,63,nSamples
93,5000.0,63,nSamples
94,5000.0,63,nSamples
95,5000.0,63,nSamples
96,5000.0,63,nSamples
97,5000.0,63,nSamples
98,5000.0,63,nSamples
99,5000.0,63,nSamples
100,5000.0,63,nSamples
1,5000.0,64,nSamples
2,5000.0,64,nSamples
3,5000.0,64,nSamples
4,5000.0,64,nSamples
5,5000.0,64,nSamples
6,5000.0,64,nSamples
7,5000.0,64,nSamples
8,5000.0,64,nSamples
9,5000.0,64,nSamples
10,5000.0,64,nSamples
11,5000.0,64,nSamples
12,5000.0,64,nSamples
13,5000.0,64,nSamples
14,5000.0,64,nSamples
15,5000.0,64,nSamples
16,5000.0,64,nSamples
17,5000.0,64,nSamples
18,5000.0,64,nSamples
19,5000.0,64,nSamples
20,5000.0,64,nSamples
21,5000.0,64,nSamples
22,5000.0,64,nSamples
23,5000.0,64,nSamples
24,5000.0,64,nSamples
25,5000.0,64,nSamples
26,5000.0,64,nSamples
27,5000.0,64,nSamples
28,5000.0,64,nSamples
29,5000.0,64,nSamples
30,5000.0,64,nSamples
31,5000.0,64,nSamples
32,5000.0,64,nSamples
33,5000.0,64,nSamples
34,5000.0,64,nSamples
35,5000.0,64,nSamples
36,5000.0,64,nSamples
37,5000.0,64,nSamples
38,5000.0,64,nSamples
39,5000.0,64,nSamples
40,5000.0,64,nSamples
41,5000.0,64,nSamples
42,5000.0,64,nSamples
43,5000.0,64,nSamples
44,5000.0,64,nSamples
45,5000.0,64,nSamples
46,5000.0,64,nSamples
47,5000.0,64,nSamples
48,5000.0,64,nSamples
49,5000.0,64,nSamples
50,5000.0,64,nSamples
51,5000.0,64,nSamples
52,5000.0,64,nSamples
53,5000.0,64,nSamples
54,5000.0,64,nSamples
55,5000.0,64,nSamples
56,5000.0,64,nSamples
57,5000.0,64,nSamples
58,5000.0,64,nSamples
59,5000.0,64,nSamples
60,5000.0,64,nSamples
61,5000.0,64,nSamples
62,5000.0,64,nSamples
63,5000.0,64,nSamples
64,5000.0,64,nSamples
65,5000.0,64,nSamples
66,5000.0,64,nSamples
67,5000.0,64,nSamples
68,5000.0,64,nSamples
69,5000.0,64,nSamples
70,5000.0,64,nSamples
71,5000.0,64,nSamples
72,5000.0,64,nSamples
73,5000.0,64,nSamples
74,5000.0,64,nSamples
75,5000.0,64,nSamples
76,5000.0,64,nSamples
77,5000.0,64,nSamples
78,5000.0,64,nSamples
79,5000.0,64,nSamples
80,5000.0,64,nSamples
81,5000.0,64,nSamples
82,5000.0,64,nSamples
83,5000.0,64,nSamples
84,5000.0,64,nSamples
85,5000.0,64,nSamples
86,5000.0,64,nSamples
87,5000.0,64,nSamples
88,5000.0,64,nSamples
89,5000.0,64,nSamples
90,5000.0,64,nSamples
91,5000.0,64,nSamples
